variant,year,start_equity,end_equity,return,max_drawdown
correlation_dedup,2022,4860773.796209728,5827779.826419804,0.19894075938364297,-0.2766051799440412
correlation_dedup,2023,5948877.896419805,9340966.517337164,0.5702064624588798,-0.1351604724716886
correlation_dedup,2024,9201715.487935495,15020717.967873342,0.6323823517003138,-0.2624667152155127
correlation_dedup,2025,14906174.337228343,26554652.30305486,0.7814532221546819,-0.08678680215518064
correlation_dedup,2026,27384495.703035124,18900089.533887874,-0.3098251748417953,-0.37742446908163796
market_breadth_gate,2020,1000000.0,1698538.7132313238,0.6985387132313237,-0.09821242597868707
market_breadth_gate,2021,1697480.4932313238,3955815.138365751,1.330403886312391,-0.07129930761360681
market_breadth_gate,2022,3905723.8783657514,3918074.5879412154,0.0031622075600059585,-0.18471633976728286
market_breadth_gate,2023,3952387.647941215,6228094.196481235,0.5757801995270955,-0.1040924011590606
market_breadth_gate,2024,6135268.421315892,9993778.366754403,0.6289064602345367,-0.27923067839481397
market_breadth_gate,2025,9974112.765473073,15225483.601406515,0.5265000466118519,-0.08680137307989533
market_breadth_gate,2026,15694491.227501795,12323537.400994712,-0.21478579825512834,-0.25493449227143883
opportunity_quality,2020,1000000.0,1796603.05078149,0.7966030507814901,-0.07017935142631393
opportunity_quality,2021,1795817.58078149,3933687.494006622,1.190471647067176,-0.07114296722228253
opportunity_quality,2022,3886950.774006622,4630335.249661315,0.19125132240571752,-0.29309012093876075
opportunity_quality,2023,4698241.529661315,6901977.872659745,0.46905556665948844,-0.11326773175236027
opportunity_quality,2024,6829668.016221719,11739217.539363872,0.7188562476947737,-0.255135423019037
opportunity_quality,2025,11676618.428636506,20011824.019495323,0.7138372844673087,-0.061753547537266584
opportunity_quality,2026,20489919.935441226,15049445.186773974,-0.2655195708821152,-0.3418449654104502
crowding_threshold,2020,1000000.0,2077373.7828610258,1.077373782861026,-0.09578994492553239
crowding_threshold,2021,2076079.6928610257,5677814.513995259,1.7348731041103327,-0.09189603602110175
crowding_threshold,2022,5583754.633995259,6677285.181793412,0.19584143994087277,-0.2950359705633703
crowding_threshold,2023,6816036.651793413,10739543.039346226,0.5756287103474529,-0.133149436937951
crowding_threshold,2024,10579446.144563584,17188447.076868188,0.624701977967036,-0.267956951444978
crowding_threshold,2025,17057373.32309888,31647716.47075602,0.8553686943052998,-0.08678722674621431
crowding_threshold,2026,32636713.28738956,22568383.90294156,-0.30849703816034335,-0.3776470258877703
stop_cooldown,2020,1000000.0,1245043.9473416414,0.24504394734164148,-0.05436316385163986
stop_cooldown,2021,1245043.9473416414,1245043.9473416414,0.0,0.0
stop_cooldown,2022,1245043.9473416414,1245043.9473416414,0.0,0.0
stop_cooldown,2023,1245043.9473416414,1245043.9473416414,0.0,0.0
stop_cooldown,2024,1245043.9473416414,1245043.9473416414,0.0,0.0
stop_cooldown,2025,1245043.9473416414,1245043.9473416414,0.0,0.0
stop_cooldown,2026,1245043.9473416414,1245043.9473416414,0.0,0.0
drawdown_throttle,2020,1000000.0,2077373.7828610258,1.077373782861026,-0.09578994492553239
drawdown_throttle,2021,2076079.6928610257,5677814.513995259,1.7348731041103327,-0.09189603602110175
drawdown_throttle,2022,5583754.633995259,4667271.428529378,-0.1641338607334405,-0.18086048754905204
drawdown_throttle,2023,4667271.428529378,4667271.428529378,0.0,0.0
drawdown_throttle,2024,4667271.428529378,4667271.428529378,0.0,0.0
drawdown_throttle,2025,4667271.428529378,4667271.428529378,0.0,0.0
drawdown_throttle,2026,4667271.428529378,4667271.428529378,0.0,0.0
trailing_profit,2020,1000000.0,2116899.978967228,1.1168999789672278,-0.08228951853255095
trailing_profit,2021,2114423.0889672283,5211996.206010882,1.4649731802525086,-0.10058197883964559
trailing_profit,2022,5121053.28868,5620988.431000998,0.09762349933481373,-0.3561945176765964
trailing_profit,2023,5737791.681000998,9244341.75372963,0.611132342838367,-0.14645670542701528
trailing_profit,2024,9106536.638728332,13483284.83723018,0.4806161082017051,-0.26795751511661703
trailing_profit,2025,13380466.99325474,24833155.35341159,0.8559259079619785,-0.08003280392163181
trailing_profit,2026,25628664.444938824,19694111.176261127,-0.23155920908120742,-0.3067903098025271
baseline2_candidate,2020,1000000.0,1422758.2344941618,0.42275823449416183,-0.06260513160134162
baseline2_candidate,2021,1421093.4544941618,2326273.4208399113,0.636960196729601,-0.07495977040197088
baseline2_candidate,2022,2293970.3808399113,2768322.6802962157,0.20678222500964716,-0.13753338817064853
baseline2_candidate,2023,2785051.9202962155,3529306.534472092,0.267231863345915,-0.09091461210164642
baseline2_candidate,2024,3484992.009303538,5536517.861204153,0.5886744779970396,-0.2641092881838468
baseline2_candidate,2025,5530396.661204154,8095256.782039652,0.4637750740065436,-0.04583748384503428
baseline2_candidate,2026,8371196.1099667,6617923.904726966,-0.20944106221001058,-0.2604173133975968
