variant,name_cn,changed_parameter,train_2020_2024_cagr,train_2020_2024_mdd,train_2020_2024_final,train_2020_2024_trades,recent_2025_202607_cagr,recent_2025_202607_mdd,recent_2025_202607_final,recent_2025_202607_trades,full_2020_202607_cagr,full_2020_202607_mdd,full_2020_202607_final,full_2020_202607_trades,mean_cagr,min_cagr,worst_mdd,eligible_mdd50,balanced_growth_score,rank
d13_half28,减半止盈提高至28%,"{""TAKE_HALF"": 0.28}",0.7216894124592799,-0.313263938582483,15099637.894335432,511,0.30310616209370433,-0.3078908697509838,1517080.3415099988,158,0.615139818759187,-0.313263938582483,23402157.711605404,673,0.5466451311040571,0.30310616209370433,0.313263938582483,True,0.47358344040095124,11.0
d12_stop10,止损放宽至10%,"{""STOP_LOSS"": 0.1}",0.6436334468838352,-0.3631514623455596,11975297.166130498,457,0.3536181816623005,-0.3073247164029157,1610681.711791368,139,0.5758278310573821,-0.3631514623455596,19901250.886259824,598,0.5243598198678393,0.3536181816623005,0.3631514623455596,True,0.47313732840617767,12.0
baseline1-2,基准1-2 止损过滤,{},0.7283819293770974,-0.2576547017314177,15395199.016314968,510,0.2962732436207858,-0.3073761244752854,1504576.0874584403,157,0.6114699086574138,-0.31732704882019,23054674.80197227,672,0.5453750272184323,0.2962732436207858,0.31732704882019,True,0.47064449213913834,13.0
d06_positions16,最大持仓增至16,"{""MAX_POSITIONS"": 16}",0.7275879236898963,-0.2576547017314177,15359893.451320462,513,0.2962732436207858,-0.3073761244752854,1504576.0874584403,157,0.6109064353524867,-0.3173281299677111,23001712.17209094,675,0.5449225342210563,0.2962732436207858,0.3173281299677111,True,0.47032774704097513,14.0
d07_positions18,最大持仓增至18,"{""MAX_POSITIONS"": 18}",0.7275879236898963,-0.2576547017314177,15359893.451320462,513,0.2962732436207858,-0.3073761244752854,1504576.0874584403,157,0.6109064353524867,-0.3173281299677111,23001712.17209094,675,0.5449225342210563,0.2962732436207858,0.3173281299677111,True,0.47032774704097513,14.0
d20_stopprob055,止损概率上限放宽至0.55,"{""STOP_PROBABILITY_CUTOFF"": 0.55}",0.8188167843042504,-0.298980689275519,19863495.99660735,593,0.22576698521645944,-0.40009755145321835,1377772.2190011987,184,0.6599834949099306,-0.37005038115733324,28020268.581855755,778,0.5681890881435468,0.22576698521645944,0.40009755145321835,True,0.46546245726542057,16.0
d02_threshold_065,信号阈值降至0.65,"{""SIGNAL_THRESHOLD"": 0.65}",0.6829966282430402,-0.3370029742698063,13478529.135690797,696,0.3189718355694038,-0.36295742428918076,1546259.8464281424,214,0.5814407991211294,-0.3577484925311427,20372078.602917314,919,0.5278030876445244,0.3189718355694038,0.36295742428918076,True,0.46515371202198824,17.0
d04_top10,每日候选增至10,"{""TOP_PER_DAY"": 10}",0.7292466057812081,-0.2576171534255457,15433720.766369388,511,0.2833618330423837,-0.30737351054221307,1481051.430350158,155,0.6082266105716516,-0.3173289534360818,22751236.757821545,671,0.5402783497984145,0.2833618330423837,0.3173289534360818,True,0.4632033947716052,18.0
d05_top12,每日候选增至12,"{""TOP_PER_DAY"": 12}",0.7292380709855917,-0.2576637697150823,15433340.160752684,511,0.2833618330423837,-0.30737351054221307,1481051.430350158,155,0.6082211270599347,-0.31732741190070446,22750726.610992476,671,0.5402736770293034,0.2833618330423837,0.31732741190070446,True,0.46320012383322745,19.0
d11_stop09,止损放宽至9%,"{""STOP_LOSS"": 0.09}",0.644150890208135,-0.342075759635999,11994146.238149835,475,0.34402273550088425,-0.31721193634242373,1592743.8537620604,145,0.5500282957467233,-0.3454659044955486,17853930.19852923,620,0.5127339738185809,0.34402273550088425,0.3454659044955486,True,0.46212060232327185,20.0
d10_stop08,止损放宽至8%,"{""STOP_LOSS"": 0.08}",0.678785253377149,-0.2852252302957451,13310848.008535923,498,0.29484347725463267,-0.34090270790417054,1501964.3909415875,153,0.583794231855117,-0.32366643210200596,20572281.015414543,652,0.5191409874956329,0.29484347725463267,0.34090270790417054,True,0.45185173442333276,21.0
