strategy,period,annualized_return,max_drawdown,sharpe,average_exposure
ret40_f0.2_r20,全周期,0.06464344759926899,-0.23588844913888074,0.5183790103028272,0.6498572787821123
ret40_f0.2_r40,设计期2018-2023,0.0939464867110269,-0.1523137953703788,0.71054442290693,0.6606726149622513
ret40_f0.2_r40,验证期2024,-0.007457748615502302,-0.12114546825047745,0.013888799994987395,0.5966942148760331
ret40_f0.2_r40,验证期2025-2026-08,0.0667459478910708,-0.12621770020065493,0.5825810745918366,0.5970223325062035
ret40_f0.2_r40,全周期,0.07637903751104225,-0.1523137953703788,0.6093979166838452,0.6411037107516651
ret40_f0.4_r5,设计期2018-2023,0.04993107060972046,-0.22922436398017798,0.4144015549805501,0.7413864104323954
ret40_f0.4_r5,验证期2024,-0.013392899172751771,-0.10457678525803427,-0.003983432898969258,0.6727272727272727
ret40_f0.4_r5,验证期2025-2026-08,0.1098420860033229,-0.13713649789083848,0.8193367473619563,0.7320099255583127
ret40_f0.4_r5,全周期,0.053486484291118686,-0.22922436398017798,0.43714468718113014,0.7316841103710752
ret40_f0.4_r10,设计期2018-2023,0.07722436423518819,-0.16296198069043066,0.5877157025300003,0.7496225120109815
ret40_f0.4_r10,验证期2024,-0.024575694973625217,-0.11347913794026565,-0.0748583736767715,0.6975206611570248
ret40_f0.4_r10,验证期2025-2026-08,0.12853775966141856,-0.13870501336588115,0.9346255292250143,0.7468982630272953
ret40_f0.4_r10,全周期,0.07437399069235529,-0.17098283976668338,0.568938755814926,0.7431018078020932
ret40_f0.4_r20,设计期2018-2023,0.09441860745216402,-0.1461119862457183,0.6927407735695895,0.7455044612216885
ret40_f0.4_r20,验证期2024,-0.060753101152207445,-0.1588189119439607,-0.2930292975200044,0.6975206611570248
ret40_f0.4_r20,验证期2025-2026-08,0.11823884973589549,-0.13870501336588026,0.8919249512898929,0.7320099255583127
ret40_f0.4_r20,全周期,0.07959022192997822,-0.21790684087123624,0.59951918874624,0.7373929590865842
ret40_f0.4_r40,设计期2018-2023,0.1025758933029619,-0.15231379537037915,0.7460382653146104,0.7455044612216885
ret40_f0.4_r40,验证期2024,0.015336153244533524,-0.09544663175801182,0.1800121295253088,0.6975206611570248
ret40_f0.4_r40,验证期2025-2026-08,0.0848811568993888,-0.13870501336588092,0.687584117523183,0.6977667493796526
ret40_f0.4_r40,全周期,0.08858448690510135,-0.15231379537037915,0.668059593629458,0.730827783063749
ret40_f0.6_r5,设计期2018-2023,0.07513337134596698,-0.1936839785189226,0.5564601849299476,0.8275909402882634
ret40_f0.6_r5,验证期2024,0.01738524686206433,-0.1379644613579889,0.18945633218139077,0.7818181818181817
ret40_f0.6_r5,验证期2025-2026-08,0.11936652315302476,-0.1648293017734258,0.8391876961300406,0.8213399503722084
ret40_f0.6_r5,全周期,0.07646056160377546,-0.2073791496297318,0.5599263671131779,0.8211227402473834
ret40_f0.6_r10,设计期2018-2023,0.09365620481470871,-0.18717542562078782,0.6646024524143441,0.8330816746739874
ret40_f0.6_r10,验证期2024,0.009665701671094151,-0.1437104675970503,0.1462313159814584,0.7983471074380165
ret40_f0.6_r10,验证期2025-2026-08,0.13188495057129335,-0.16586819773416084,0.9113578746739257,0.8312655086848635
ret40_f0.6_r10,全周期,0.0906168579388098,-0.18717542562078782,0.6414681958740375,0.8287345385347288
ret40_f0.6_r20,设计期2018-2023,0.10524528510935305,-0.1739898033688163,0.7305947980027732,0.8303363074811254
ret40_f0.6_r20,验证期2024,-0.01557411463887326,-0.1733670526389568,0.0077697811808771665,0.7983471074380165
ret40_f0.6_r20,验证期2025-2026-08,0.12505492221580705,-0.16586819773416261,0.8856115718326635,0.8213399503722084
ret40_f0.6_r20,全周期,0.09412920172968309,-0.2230895467089964,0.6602329497136833,0.8249286393910561
ret40_f0.6_r40,设计期2018-2023,0.11073973778523838,-0.17398980336881575,0.7645921523691039,0.8303363074811254
ret40_f0.6_r40,验证期2024,0.03718335855497257,-0.12553287349288356,0.3034549517568253,0.7983471074380165
ret40_f0.6_r40,验证期2025-2026-08,0.10264128618446988,-0.1658681977341605,0.7608813498766924,0.7985111662531016
ret40_f0.6_r40,全周期,0.10025277647730357,-0.17398980336881575,0.7046021288603062,0.8205518553758324
ma40_fNone_r5,设计期2018-2023,0.01835765429283609,-0.26212741029114794,0.20600138460548673,0.5964310226492794
ma40_fNone_r5,验证期2024,0.19874120759368252,-0.08255167716079392,1.1716562931029815,0.5165289256198347
ma40_fNone_r5,验证期2025-2026-08,0.043129398410191255,-0.11777565599532969,0.4133562152615593,0.6153846153846154
ma40_fNone_r5,全周期,0.04240319391084357,-0.2788883004273458,0.3784920145007552,0.5908658420551856
ma40_fNone_r10,设计期2018-2023,0.031028172147026023,-0.22031592616079487,0.2975667734016213,0.5827041866849691
ma40_fNone_r10,验证期2024,-0.021322008371455592,-0.11849885784990488,-0.07813027780704669,0.49586776859504134
ma40_fNone_r10,验证期2025-2026-08,0.0347612685410954,-0.11383241173885372,0.3566826837703559,0.5533498759305211
ma40_fNone_r10,全周期,0.02551431984710506,-0.26681746967144837,0.260516470219759,0.5670789724072313
ma40_fNone_r20,设计期2018-2023,0.06961949508850718,-0.190886681380249,0.560732632821173,0.6170212765957447
ma40_fNone_r20,验证期2024,-0.1308597318385104,-0.1487149614626717,-0.7524156274840585,0.5785123966942148
ma40_fNone_r20,验证期2025-2026-08,0.1306242655932881,-0.10046508899434015,1.148123527772747,0.5533498759305211
ma40_fNone_r20,全周期,0.05539681143968078,-0.2907816475014767,0.46584140347405334,0.6003805899143673
ma40_fNone_r40,设计期2018-2023,0.08044990216195824,-0.16004781027095605,0.6496666172544789,0.5483870967741935
ma40_fNone_r40,验证期2024,-0.04960273747872379,-0.11849885784990466,-0.29314323024628486,0.4132231404958678
ma40_fNone_r40,验证期2025-2026-08,0.10602784825452272,-0.1262177002006547,0.8133797115147061,0.6451612903225806
ma40_fNone_r40,全周期,0.06924638641665948,-0.19648856266896553,0.5691607039984767,0.5513796384395814
ret60_f0.2_r5,设计期2018-2023,0.057370654067893545,-0.2578594212604929,0.4632997082385366,0.6991077556623198
