date,symbol,previous_raw_close,preclose,close,qfq_close,pctChg,implied_factor
2019-03-11,000055.SZ,6.4,6.2,6.33,5.92895019,2.096776,1.032258064516129
2020-06-04,000055.SZ,4.35,4.3,4.32,4.09334688,0.4651,1.0116279069767442
2022-05-23,000055.SZ,4.26,4.21,4.24,4.06526112,0.7126,1.01187648456057
2023-04-03,000055.SZ,4.82,4.77,4.85,4.6988643,1.6771,1.0104821802935011
2024-05-17,000055.SZ,4.16,4.08,4.14,4.0896369,1.4706,1.0196078431372548
2025-05-28,000055.SZ,4.11,4.06,4.08,4.08,0.4926,1.0123152709359609
2018-06-15,000058.SZ,5.91,5.86,5.66,5.52897666,-3.412974,1.0085324232081911
2019-07-11,000058.SZ,5.34,5.31,5.32,5.22620308,0.188328,1.0056497175141244
2019-06-26,000059.SZ,6.73,6.48,6.47,5.74165269,-0.154325,1.0385802469135803
2020-05-19,000059.SZ,5.0,4.77,4.81,4.47434377,0.8386,1.0482180293501049
2021-06-11,000059.SZ,7.75,7.67,7.78,7.31256982,1.4342,1.0104302477183833
2022-06-17,000059.SZ,6.49,6.27,6.26,6.09034774,-0.1595,1.0350877192982457
2023-06-14,000059.SZ,6.11,5.98,6.08,6.04381792,1.6722,1.0217391304347825
2018-05-16,000060.SZ,9.67,6.28,6.18,5.38693914,-1.592363,1.539808917197452
2019-05-16,000060.SZ,4.67,4.59,4.74,4.20374484,3.267966,1.0174291938997821
2020-05-22,000060.SZ,3.6,3.53,3.5,3.165582,-0.8499,1.019830028328612
2021-06-18,000060.SZ,4.52,4.44,4.48,4.12495552,0.9009,1.0180180180180178
2022-06-14,000060.SZ,4.58,4.49,4.55,4.27338275,1.3363,1.020044543429844
2023-06-28,000060.SZ,4.8,4.7,4.66,4.46981608,-0.8511,1.0212765957446808
2024-07-09,000060.SZ,4.28,4.22,4.35,4.2317931,3.0806,1.014218009478673
2025-06-26,000060.SZ,4.56,4.47,4.49,4.45593437,0.4474,1.0201342281879193
2026-07-09,000060.SZ,6.59,6.54,6.49,6.49,-0.7645,1.007645259938838
2018-06-25,000061.SZ,5.55,5.5,5.36,4.94476616,-2.545452,1.009090909090909
2020-06-18,000061.SZ,7.89,7.83,7.81,7.27352329,-0.2554,1.007662835249042
2021-06-24,000061.SZ,5.68,5.62,5.59,5.26159868,-0.5338,1.0106761565836297
2022-06-22,000061.SZ,6.39,6.32,6.11,5.81474647,-3.3228,1.0110759493670884
2023-06-26,000061.SZ,6.0,5.96,5.87,5.62384155,-1.5101,1.0067114093959733
2024-06-18,000061.SZ,5.21,5.1,5.13,5.02087977,0.5882,1.0215686274509805
2025-06-12,000061.SZ,6.72,6.65,6.71,6.63639801,0.9023,1.0105263157894735
2026-06-26,000061.SZ,5.47,5.41,5.31,5.31,-1.8484,1.011090573012939
2018-05-09,000062.SZ,22.4,22.05,21.47,12.74882159,-2.630385,1.0158730158730158
2019-05-10,000062.SZ,19.28,13.12,13.47,11.75381424,2.667686,1.4695121951219514
2020-05-08,000062.SZ,12.67,12.52,12.44,10.98510468,-0.639,1.0119808306709266
2021-04-23,000062.SZ,13.33,13.13,12.99,11.64549603,-1.0663,1.0152322924600152
2022-05-11,000062.SZ,11.32,11.02,11.21,10.32332263,1.7241,1.0272232304900182
2023-04-27,000062.SZ,12.64,12.34,12.5,11.7911375,1.2966,1.0243111831442464
2024-05-30,000062.SZ,9.55,9.35,9.46,9.15474472,1.1765,1.0213903743315509
2024-12-05,000062.SZ,26.71,26.46,26.36,25.750425,-0.3779,1.009448223733938
2025-05-08,000062.SZ,28.9,28.72,27.72,27.24870456,-3.4819,1.006267409470752
2025-09-25,000062.SZ,30.5,30.3,29.46,29.15025756,-2.7723,1.0066006600660067
2025-11-27,000062.SZ,25.73,25.53,25.64,25.56918232,0.4309,1.0078339208773992
2020-08-12,000063.SZ,38.03,37.83,38.62,35.40055956,2.0883,1.0052868094105207
2021-08-20,000063.SZ,36.29,36.09,35.38,32.61038284,-1.9673,1.0055417013022996
2022-05-10,000063.SZ,23.16,22.86,23.4,21.8512476,2.3622,1.0131233595800526
2023-05-16,000063.SZ,31.36,30.96,31.11,29.42629569,0.4845,1.0129198966408268
2024-07-15,000063.SZ,28.62,27.94,27.78,26.916042,-0.5727,1.0243378668575518
2025-04-16,000063.SZ,32.15,31.53,31.35,30.9722952,-0.5709,1.0196638122423087
2026-07-29,000063.SZ,34.03,33.62,34.08,34.08,1.3682,1.0121951219512195
2018-06-01,000065.SZ,14.31,9.46,9.02,7.48432696,-4.651158,1.5126849894291754
2019-06-27,000065.SZ,8.99,8.91,8.91,7.45943418,0.0,1.0089786756453423
2020-06-03,000065.SZ,7.47,7.38,7.35,6.2284488,-0.4065,1.0121951219512195
2021-06-25,000065.SZ,7.75,7.65,8.42,7.2284437,10.0654,1.0130718954248366
