symbol,first_date,last_date,rows,exchange,ends_before_dataset,current_name,name_marks_delisted
000045.SZ,2018-01-02,2026-09-11,2111,SZ,False,深纺织A,False
000046.SZ,2018-01-02,2024-02-07,1484,SZ,True,*ST泛海,False
000048.SZ,2018-01-02,2026-09-11,2111,SZ,False,京基智农,False
000049.SZ,2018-01-02,2026-09-11,2111,SZ,False,德赛电池,False
000050.SZ,2018-01-02,2026-09-11,2111,SZ,False,深天马A,False
000055.SZ,2018-01-02,2026-09-11,2111,SZ,False,方大集团,False
000056.SZ,2018-01-02,2026-09-11,2111,SZ,False,*ST皇庭,False
000058.SZ,2018-01-02,2026-09-11,2111,SZ,False,深赛格,False
000059.SZ,2018-01-02,2026-09-11,2111,SZ,False,华锦股份,False
000060.SZ,2018-01-02,2026-09-11,2111,SZ,False,中金岭南,False
000061.SZ,2018-01-02,2026-09-11,2111,SZ,False,农产品,False
000062.SZ,2018-01-02,2026-09-11,2111,SZ,False,深圳华强,False
000063.SZ,2018-01-02,2026-09-11,2111,SZ,False,中兴通讯,False
000065.SZ,2018-01-02,2026-09-11,2111,SZ,False,北方国际,False
000066.SZ,2018-01-02,2026-09-11,2111,SZ,False,中国长城,False
000068.SZ,2018-01-02,2026-09-11,2111,SZ,False,华控赛格,False
000069.SZ,2018-01-02,2026-09-11,2111,SZ,False,华侨城A,False
000070.SZ,2018-01-02,2026-09-11,2111,SZ,False,特发信息,False
000078.SZ,2018-01-02,2026-09-11,2111,SZ,False,ST海王,False
000088.SZ,2018-01-02,2026-09-11,2111,SZ,False,盐田港,False
000089.SZ,2018-01-02,2026-09-11,2111,SZ,False,深圳机场,False
000090.SZ,2018-01-02,2026-09-11,2111,SZ,False,天健集团,False
000096.SZ,2018-01-02,2026-09-11,2111,SZ,False,广聚能源,False
000099.SZ,2018-01-02,2026-09-11,2111,SZ,False,中信海直,False
000100.SZ,2018-01-02,2026-09-11,2111,SZ,False,TCL科技,False
000150.SZ,2018-01-02,2023-06-09,1320,SZ,True,*ST宜康,False
000151.SZ,2018-01-02,2026-09-11,2111,SZ,False,中成股份,False
000153.SZ,2018-01-02,2026-09-11,2111,SZ,False,丰原药业,False
000155.SZ,2018-01-02,2026-09-11,2111,SZ,False,川能动力,False
000156.SZ,2018-01-02,2026-09-11,2111,SZ,False,华数传媒,False
000157.SZ,2018-01-02,2026-09-11,2111,SZ,False,中联重科,False
000158.SZ,2018-01-02,2026-09-11,2111,SZ,False,常山北明,False
000159.SZ,2018-01-02,2026-09-11,2111,SZ,False,国际实业,False
000166.SZ,2018-01-02,2026-09-11,2111,SZ,False,申万宏源,False
000301.SZ,2018-01-02,2026-09-11,2111,SZ,False,东方盛虹,False
000333.SZ,2018-01-02,2026-09-11,2111,SZ,False,美的集团,False
000338.SZ,2018-01-02,2026-09-11,2111,SZ,False,潍柴动力,False
000400.SZ,2018-01-02,2026-09-11,2111,SZ,False,许继电气,False
000401.SZ,2018-01-02,2026-09-11,2111,SZ,False,金隅冀东,False
000402.SZ,2018-01-02,2026-09-11,2111,SZ,False,金融街,False
000403.SZ,2018-01-02,2026-09-11,2111,SZ,False,派林生物,False
000404.SZ,2018-01-02,2026-09-11,2111,SZ,False,长虹华意,False
000407.SZ,2018-01-02,2026-09-11,2111,SZ,False,胜利股份,False
000408.SZ,2018-01-02,2026-09-11,2111,SZ,False,藏格矿业,False
000409.SZ,2018-01-02,2026-09-11,2111,SZ,False,云鼎科技,False
000410.SZ,2018-01-02,2026-09-11,2111,SZ,False,沈阳机床,False
000411.SZ,2018-01-02,2026-09-11,2111,SZ,False,英特集团,False
000413.SZ,2018-01-02,2024-10-11,1642,SZ,True,ST旭电,False
000415.SZ,2018-01-02,2026-09-11,2111,SZ,False,渤海租赁,False
000416.SZ,2018-01-02,2024-06-05,1558,SZ,True,*ST民控,False
000417.SZ,2018-01-02,2026-09-11,2111,SZ,False,合百集团,False
