date,equity,cash,positions
2023-09-12,12634596.268595796,1388944.7885957959,11
2023-09-13,12496674.828595797,1388944.7885957959,11
2023-09-14,12353075.325198924,141292.98519892385,12
2023-09-15,12366518.535198923,141292.98519892385,12
2023-09-18,12197555.347030416,1454740.5370304156,11
2023-09-19,11979437.735353114,236113.98535311432,12
2023-09-20,11798588.027226489,312941.36722648935,11
2023-09-21,11909909.003849177,948739.8738491761,11
2023-09-22,12393632.643849175,948739.8738491761,11
2023-09-25,12372376.645196693,3504755.295196694,9
2023-09-26,12384394.298501767,3601274.7485017674,9
2023-09-27,12568144.830059642,1457348.0000596435,10
2023-09-28,12826735.770059643,1457348.0000596435,10
2023-10-09,12750581.743258296,6177471.713258296,6
2023-10-10,12572993.944674853,4897856.434674854,7
2023-10-11,12925716.344674855,4897856.434674854,7
2023-10-12,12737495.523479875,4389001.7634798745,8
2023-10-13,12583942.676674677,4149572.1166746784,8
2023-10-16,12444461.68513611,6626779.1851361105,6
2023-10-17,12387706.278205357,3930136.878205357,8
2023-10-18,12312692.701799314,2691467.4417993138,9
2023-10-19,12331554.378898602,3376909.4388986016,8
2023-10-20,12223918.428898603,3376909.4388986016,8
2023-10-23,12011939.53992043,4824952.829920432,6
2023-10-24,12146170.370871825,4871513.880871824,6
2023-10-25,12160369.592569193,5996088.832569193,5
2023-10-26,12183267.562569194,5996088.832569193,5
2023-10-27,12237802.722569194,5996088.832569193,5
2023-10-30,12563264.356176555,3546840.276176555,7
2023-10-31,12579228.180774063,2290967.3907740624,8
2023-11-01,12505290.650774064,2290967.3907740624,8
2023-11-02,12303728.140774064,2290967.3907740624,8
2023-11-03,12969904.797536824,1197892.5375368244,9
2023-11-06,13469344.952260287,2779731.2422602884,9
2023-11-07,13524320.19226029,2779731.2422602884,9
2023-11-08,13797211.259285381,3586939.87928538,8
2023-11-09,13686041.224405767,2208158.784405768,9
2023-11-10,13658563.084405767,2208158.784405768,9
2023-11-13,13762856.420849979,2904445.07084998,9
2023-11-14,14026995.920849979,2904445.07084998,9
2023-11-15,13980321.788195979,3655629.51819598,8
2023-11-16,13845166.958485302,4969219.6484853,7
2023-11-17,13842011.103357596,5726981.003357597,6
2023-11-20,14018177.783357596,5726981.003357597,6
2023-11-21,13907179.953357596,5726981.003357597,6
2023-11-22,13845241.133357596,5726981.003357597,6
2023-11-23,13899158.183357596,5726981.003357597,6
2023-11-24,13681683.623420477,6388933.593420478,6
2023-11-27,13985250.692210875,5019762.412210877,7
2023-11-28,13977272.662210878,5019762.412210877,7
2023-11-29,14126113.148193168,7762820.1881931685,5
2023-11-30,14125750.93678853,8552125.276788529,5
2023-12-01,14142372.162836129,9332149.55283613,4
2023-12-04,14119642.476014448,11312367.636014448,2
2023-12-05,14058877.51601445,11312367.636014448,2
2023-12-06,14067449.196014449,11312367.636014448,2
2023-12-07,14046317.776014447,11312367.636014448,2
2023-12-08,14079691.99001472,9906973.390014721,3
2023-12-11,14096504.460900858,11294149.500900857,2
2023-12-12,14110842.780900858,11294149.500900857,2
2023-12-13,14101253.280900856,11294149.500900857,2
2023-12-14,14086046.143440526,10025184.113440527,3
2023-12-15,14058251.853440527,10025184.113440527,3
2023-12-18,13947101.533440527,10025184.113440527,3
2023-12-19,13981469.623440526,10025184.113440527,3
2023-12-20,13931468.143440526,10025184.113440527,3
2023-12-21,14130429.131632678,8771676.911632678,4
2023-12-22,13895641.081508612,7504011.721508611,5
2023-12-25,13977336.426277775,8752883.896277774,4
2023-12-26,13852219.396277774,8752883.896277774,4
2023-12-27,13926649.953535724,9878561.163535723,3
2023-12-28,14110261.413535723,9878561.163535723,3
2023-12-29,14261755.303535724,9878561.163535723,3
2024-01-02,14095664.479945749,9385033.33994575,4
2024-01-03,14072916.85994575,9385033.33994575,4
2024-01-04,13938023.083220733,7744067.973220734,5
2024-01-05,13775735.59728734,7767643.88728734,5
2024-01-08,13545713.442052376,6392454.372052374,6
2024-01-09,13630955.56177559,7664901.911775589,5
2024-01-10,13600274.761775589,7664901.911775589,5
2024-01-11,13748389.581775589,7664901.911775589,5
2024-01-12,13618859.21177559,7664901.911775589,5
2024-01-15,13639152.948031444,9747938.598031444,3
2024-01-16,13561274.062036645,8521571.462036645,4
2024-01-17,13296902.132078616,7300299.572078615,5
2024-01-18,13439815.352478836,8529867.752478836,4
2024-01-19,13274269.289758507,7185582.119758507,5
2024-01-22,13016218.578024218,8502805.408024218,4
2024-01-23,13189492.798201993,7203122.758201993,5
2024-01-24,13059255.49555948,4834394.865559479,7
2024-01-25,13452575.806922145,3658571.1269221446,8
2024-01-26,13022624.438549256,43.938549254089594,11
2024-01-29,12526482.648549253,43.938549254089594,11
2024-01-30,12237014.413284432,3138104.203284433,8
2024-01-31,11894562.420867443,4376007.590867443,8
2024-02-01,11868489.85649784,2020877.226497841,11
2024-02-02,11284795.576416427,1065808.0064164295,13
2024-02-05,10994608.524575971,8058138.794575971,3
2024-02-06,11302555.737340724,2987521.147340724,9
2024-02-07,10942239.09079215,2.630792149575427,13
2024-02-08,12145783.533942636,1491748.163942636,11
2024-02-19,12605843.566707954,2177907.9967079526,12
2024-02-20,12957961.006125541,291015.5561255404,14
2024-02-21,13079987.635194289,811736.5551942904,14
2024-02-22,13556307.116795335,1859036.0967953354,14
2024-02-23,14146378.307611268,4371664.827611268,12
2024-02-26,14335024.975066632,6986092.925066631,9
2024-02-27,14970665.426550876,2429111.4065508763,12
2024-02-28,14222704.192431502,5204303.702431501,9
2024-02-29,14998016.593458798,1164752.4634587993,13
2024-03-01,15527046.685068293,826540.055068292,14
2024-03-04,15706710.93506829,826540.055068292,14
2024-03-05,15363431.571129804,1531540.071129802,14
2024-03-06,15513985.633641686,2249728.9136416833,13
2024-03-07,15398183.85149379,2929042.011493792,13
2024-03-08,15618003.19186762,1391255.231867619,14
2024-03-11,16137738.681867618,1391255.231867619,14
2024-03-12,16431784.15186762,1391255.231867619,14
2024-03-13,16442136.64186762,1391255.231867619,14
2024-03-14,16097905.233098958,1974231.1430989578,14
2024-03-15,16360199.923098957,1974231.1430989578,14
2024-03-18,16949128.78387999,3950338.283879995,13
2024-03-19,17127804.670400873,5893101.6404008735,11
2024-03-20,17169486.69017351,7370847.68017351,9
2024-03-21,17143822.68017351,7370847.68017351,9
2024-03-22,16868665.61775152,8128025.74775152,8
2024-03-25,16491338.327751521,8128025.74775152,8
2024-03-26,16524444.987751521,8128025.74775152,8
2024-03-27,15950239.547665222,6344988.527665222,8
2024-03-28,16005847.754721627,7355965.684721626,6
2024-03-29,16098167.514721626,7355965.684721626,6
2024-04-01,16343820.623419851,9648404.71341985,4
2024-04-02,16293380.15341985,9648404.71341985,4
2024-04-03,16116871.09341985,9648404.71341985,4
2024-04-08,15815464.308379477,6427376.438379478,6
2024-04-09,16245053.960900307,1677131.7409003042,9
2024-04-10,15797151.220900305,1677131.7409003042,9
2024-04-11,15787907.947808439,3167118.30780844,8
2024-04-12,15802425.40780844,3167118.30780844,8
2024-04-15,15528209.751140168,4666522.791140169,7
2024-04-16,14635514.359985076,2850692.5099850735,10
2024-04-17,14999718.615409587,7456687.085409585,7
2024-04-18,14860151.136573091,31.346573091461323,13
2024-04-19,14612414.186573092,31.346573091461323,13
2024-04-22,14771698.894656494,1066967.9046564945,12
2024-04-23,15118466.76476798,6.124767980072647,13
2024-04-24,15535207.744767979,6.124767980072647,13
2024-04-25,15491530.24476798,6.124767980072647,13
2024-04-26,16048456.26476798,6.124767980072647,13
2024-04-29,16615587.316078013,1435177.866078012,13
2024-04-30,16422008.705880182,704640.7358801833,14
2024-05-06,16620123.938267801,1448899.3882677974,13
2024-05-07,16931123.1582678,1448899.3882677974,13
2024-05-08,16610998.40674135,2987496.8167413506,11
2024-05-09,16801222.644998845,4653622.4849988455,10
