event,hold_days,period,events,mean_net_return,median_net_return,win_rate
close_limit_opened,10,2018-2023,57996,-0.023150489279763032,-0.03980801590531679,0.35843851300089663
close_limit_opened,10,2024,13872,-0.020454218723463487,-0.03950134579249403,0.38559688581314877
close_limit_opened,10,2025-2026-08,21492,-0.016213681690226522,-0.03486247877758907,0.38349153173273776
close_limit_opened,20,2018-2023,57960,-0.03275104977055601,-0.06028571428571427,0.34006211180124224
close_limit_opened,20,2024,13868,-0.015486728864051799,-0.04071555783694513,0.40661955581194115
close_limit_opened,20,2025-2026-08,20782,-0.020627890175504354,-0.05162287969508161,0.37229333076700993
intraday_limit_not_close,2,2018-2023,43270,-0.010274970983014192,-0.014966782520347438,0.37480933672290273
intraday_limit_not_close,2,2024,12194,-0.014792549483205521,-0.020203358775727147,0.34262752173199934
intraday_limit_not_close,2,2025-2026-08,13762,-0.008842137199217118,-0.014442416763739025,0.38700770236884174
intraday_limit_not_close,3,2018-2023,43265,-0.011201651779202501,-0.016974822466107257,0.379798913671559
intraday_limit_not_close,3,2024,12194,-0.011211089971758919,-0.014934133679428857,0.39199606363785466
intraday_limit_not_close,3,2025-2026-08,13726,-0.009358660466846871,-0.016638297872340384,0.39581815532565934
intraday_limit_not_close,5,2018-2023,43263,-0.012358166121593727,-0.020403292181070058,0.38749046529366893
intraday_limit_not_close,5,2024,12192,-0.013432304128214953,-0.02164747586221793,0.38295603674540685
intraday_limit_not_close,5,2025-2026-08,13661,-0.010625068484891158,-0.02129051987767582,0.3962374643144719
intraday_limit_not_close,10,2018-2023,43238,-0.014506912088646077,-0.02705263157894732,0.38729820990795133
intraday_limit_not_close,10,2024,12187,-0.005346538484902428,-0.011452562704471142,0.4499056371543448
intraday_limit_not_close,10,2025-2026-08,13514,-0.0106023523459152,-0.026783875622585322,0.40158354299245225
intraday_limit_not_close,20,2018-2023,43205,-0.020377976611808117,-0.04267481662591687,0.37410021988195813
intraday_limit_not_close,20,2024,12180,0.017868670821929396,0.0018091120988725836,0.5037766830870279
intraday_limit_not_close,20,2025-2026-08,13221,-0.008801846625666444,-0.03481040892193309,0.4014824899780652
limit_after_positive20,2,2018-2023,51464,-0.01241377372956395,-0.018430158878796336,0.3692095445359863
limit_after_positive20,2,2024,11845,-0.021722322141266404,-0.029060796645702373,0.3333051920641621
limit_after_positive20,2,2025-2026-08,19632,-0.008616050820007916,-0.015693053311793208,0.39919519152404237
limit_after_positive20,3,2018-2023,51463,-0.014935596854585481,-0.024227009113504498,0.3680119697646853
limit_after_positive20,3,2024,11845,-0.026869986397870516,-0.03806997084548113,0.33220768256648375
limit_after_positive20,3,2025-2026-08,19590,-0.00996252387846727,-0.018735734293218224,0.40290964777947935
limit_after_positive20,5,2018-2023,51462,-0.01906499851466076,-0.03134562211981556,0.35814775951187283
limit_after_positive20,5,2024,11845,-0.03401533492245039,-0.0509438202247191,0.3154073448712537
limit_after_positive20,5,2025-2026-08,19493,-0.015297024199465974,-0.02809550962223794,0.3818293746473093
limit_after_positive20,10,2018-2023,51459,-0.02696340796205258,-0.04496103896103908,0.3423502205639441
limit_after_positive20,10,2024,11845,-0.03972043613437706,-0.061944055944055935,0.312621359223301
limit_after_positive20,10,2025-2026-08,19203,-0.019471893755756593,-0.04090401396160558,0.367546737488934
limit_after_positive20,20,2018-2023,51457,-0.037841040647432024,-0.06751142355008777,0.321899838700274
limit_after_positive20,20,2024,11845,-0.0430449299915333,-0.06693028285768998,0.336344449134656
limit_after_positive20,20,2025-2026-08,18725,-0.025307474488385877,-0.05890456431535262,0.35332443257676904
limit_after_negative20,2,2018-2023,8566,-0.005244486070081226,-0.01130462597814263,0.40018678496381044
limit_after_negative20,2,2024,2835,0.008178746022996165,0.005691348402182333,0.544620811287478
limit_after_negative20,2,2025-2026-08,3357,-0.005522575490372387,-0.012465517241379337,0.41078343759308905
limit_after_negative20,3,2018-2023,8565,-0.0055213347059471386,-0.01258978583196046,0.4108581436077058
limit_after_negative20,3,2024,2835,0.018637069738331433,0.014472440944881986,0.5763668430335097
limit_after_negative20,3,2025-2026-08,3355,-0.0059071431372551934,-0.013425742574257432,0.42295081967213116
limit_after_negative20,5,2018-2023,8560,-0.0054587928501176304,-0.014304502247100554,0.41647196261682246
limit_after_negative20,5,2024,2835,0.03528275106053186,0.025937544357700577,0.6215167548500882
limit_after_negative20,5,2025-2026-08,3350,-0.00727602549025684,-0.016380680198131374,0.4244776119402985
limit_after_negative20,10,2018-2023,8540,-0.0017015678390311048,-0.014737472967730253,0.4436768149882904
limit_after_negative20,10,2024,2831,0.050127066312334385,0.04846118192352256,0.6580713528788414
limit_after_negative20,10,2025-2026-08,3333,-0.0037665093758814496,-0.014902077151335397,0.4521452145214521
limit_after_negative20,20,2018-2023,8501,-0.001445941053398408,-0.022518424396442242,0.438536642747912
limit_after_negative20,20,2024,2827,0.08784704514479154,0.08066666666666666,0.6699681641315882
limit_after_negative20,20,2025-2026-08,3073,0.0013231587387198826,-0.01315137067938032,0.46697038724373574
