start,end,final_nav,total_return,annualized_return,max_drawdown,sharpe,average_exposure,turnover,strategy,period
2024-01-02,2024-12-31,0.9583791780038938,-0.04162082199610617,-0.041760723880393535,-0.23074342998611186,-0.04676217011989338,1.0,8.730891089108912,Q3分散100只40日,阶段2_2024
2025-01-02,2026-08-31,1.4528173290953899,0.45281732909538985,0.2524727061487284,-0.23158599116521128,1.2168654215872043,0.9990074441687345,16.908567312214622,Q3分散100只40日,2025-2026-08
2018-01-02,2026-08-31,2.4044426459521913,1.4044426459521913,0.106618561876481,-0.2783144898981993,0.6111126004416145,0.9231074590023696,77.50456764044942,Q3分散100只40日,全周期
2018-01-02,2018-12-28,0.8539437569852889,-0.1460562430147111,-0.14802023923138896,-0.1499099593855162,-1.0742548596699233,0.25925925925925924,2.607843137254902,Q3进攻50只60日,2018
2019-01-02,2019-12-31,1.2511554662427746,0.2511554662427746,0.25289433840005704,-0.1965035997903677,1.2242228063298686,1.0,6.486274509803922,Q3进攻50只60日,2019
2020-01-02,2020-12-31,1.3196425263772025,0.3196425263772025,0.32090005243372555,-0.18600762536134796,1.2458563826223517,1.0,6.6000000000000005,Q3进攻50只60日,2020
2021-01-04,2021-12-31,1.47177775443812,0.4717777544381201,0.4784894039505492,-0.10133683073535249,2.406051832565296,0.9950617283950618,6.52,Q3进攻50只60日,2021
2022-01-04,2022-12-30,0.957788094549107,-0.04221190545089304,-0.04281412693914255,-0.2832891877160858,-0.06638551632914268,1.0,6.862520561199807,Q3进攻50只60日,2022
2023-01-03,2023-12-29,1.010885630785176,0.010885630785175904,0.011045253090649298,-0.17728401032273167,0.1510652229786969,1.0,6.5319636617749826,Q3进攻50只60日,2023
2024-01-02,2024-12-31,0.8852178076721848,-0.11478219232781517,-0.11515274363266081,-0.25598324523253824,-0.38336746033410446,1.0,6.082486000044269,Q3进攻50只60日,2024
2025-01-02,2025-12-31,1.5385770653994104,0.5385770653994104,0.5426914923736996,-0.1295811156666652,2.4055062629872634,1.0,6.873497207737759,Q3进攻50只60日,2025
2026-01-05,2026-08-31,1.0275942102979245,0.027594210297924526,0.042658905780899925,-0.19312116192772877,0.30661522720020523,0.9999999999999998,4.660383686958356,Q3进攻50只60日,2026
2018-01-02,2023-12-29,2.009141572994618,1.009141572994618,0.12358431980244755,-0.2832891877160858,0.7094883577994251,0.8756348661633493,35.60860187003361,Q3进攻50只60日,阶段1_2018-2023
2024-01-02,2024-12-31,0.8852178076721848,-0.11478219232781517,-0.11515274363266081,-0.25598324523253824,-0.38336746033410446,1.0,6.082486000044269,Q3进攻50只60日,阶段2_2024
2025-01-02,2026-08-31,1.581032884501605,0.5810328845016051,0.31797208725206194,-0.19312116192772888,1.517150526899852,1.0,11.533880894696114,Q3进攻50只60日,2025-2026-08
2018-01-02,2026-08-31,2.8119110936100404,1.8119110936100404,0.12680515088000788,-0.34401695541724664,0.7068522396258953,0.9137963843958135,53.224968764774,Q3进攻50只60日,全周期
2018-01-02,2018-12-28,0.816482114413722,-0.18351788558627802,-0.18592847378738553,-0.18639666377733755,-1.4365669894076565,0.3004115226337449,3.1127141009972195,Q3平衡进攻各半,2018
2019-01-02,2019-12-31,1.2614947732216018,0.26149477322160175,0.2633124568481666,-0.18930835481841424,1.232704979334577,1.0,8.171072365619668,Q3平衡进攻各半,2019
2020-01-02,2020-12-31,1.2847647775510482,0.28476477755104823,0.28587078482251016,-0.14893780638629794,1.1761895423828308,1.0,8.244180077110201,Q3平衡进攻各半,2020
2021-01-04,2021-12-31,1.4277345728978936,0.42773457289789363,0.4337324611330864,-0.10610111873739458,2.3668675162066726,0.9974731053391103,8.264572623377344,Q3平衡进攻各半,2021
2022-01-04,2022-12-30,0.9515923641658778,-0.04840763583412222,-0.049095962318839836,-0.26746547796386644,-0.09856567336304663,1.0,8.506970559568568,Q3平衡进攻各半,2022
2023-01-03,2023-12-29,1.0499661615642002,0.049966161564200195,0.05071300889961705,-0.13738166818740227,0.46240981102914286,1.0,8.315981830887491,Q3平衡进攻各半,2023
2024-01-02,2024-12-31,0.9202078518404185,-0.07979214815958147,-0.08005488720930931,-0.2253371886058303,-0.2201126023825055,1.0,7.610070160515961,Q3平衡进攻各半,2024
2025-01-02,2025-12-31,1.4932471983367384,0.49324719833673836,0.49696290077865,-0.1149218896470906,2.320811406277894,1.0,8.572304110425392,Q3平衡进攻各半,2025
2026-01-05,2026-08-31,1.037041881955404,0.03704188195540392,0.05740657104459368,-0.2055829628006688,0.36809659070264517,1.0,5.769739513162513,Q3平衡进攻各半,2026
2018-01-02,2023-12-29,1.8876848063270912,0.8876848063270912,0.11194388986253179,-0.26746547796386677,0.6651147520959386,0.8829004561409773,44.615491557560496,Q3平衡进攻各半,阶段1_2018-2023
2024-01-02,2024-12-31,0.9202078518404185,-0.07979214815958147,-0.08005488720930931,-0.2253371886058303,-0.2201126023825055,1.0,7.610070160515961,Q3平衡进攻各半,阶段2_2024
2025-01-02,2026-08-31,1.548559884787763,0.5485598847877631,0.3015891915654376,-0.20558296280066946,1.455895289921609,1.0,14.342043623587903,Q3平衡进攻各半,2025-2026-08
2018-01-02,2026-08-31,2.689945119943289,1.6899451199432889,0.12104996960321857,-0.2956169531731194,0.6876256278147377,0.9188325235953396,66.56760534166436,Q3平衡进攻各半,全周期
