factor,year,rank_ic,ic_positive_share,top_decile_future20,bottom_decile_future20,top_minus_bottom
liq_ratio,2019,-0.05133667047267077,0.2540983606557377,-0.0017057789576434314,0.010415850831293203,-0.012121629788936635
liq_ratio,2020,-0.021516082734813414,0.36213991769547327,0.004802951720447315,0.002046909361714563,0.0027560423587327525
liq_ratio,2021,-0.07230359301083324,0.39094650205761317,0.007921754680355537,0.022328639638059943,-0.014406884957704405
liq_ratio,2022,-0.037841157800226635,0.45867768595041325,-0.0013510351384887057,-0.0011904958898393955,-0.00016053924864931025
liq_ratio,2023,-0.041979282202065996,0.359504132231405,-0.009032069822159322,-0.0038564047748006645,-0.005175665047358657
liq_ratio,2024,-0.039441235138619454,0.41735537190082644,-0.005494348785814282,0.009953890574216332,-0.015448239360030615
liq_ratio,2025,-0.05662077871920495,0.2345679012345679,0.024191315896840593,0.032374282193590585,-0.008182966296749992
liq_ratio,2026,-0.05021622555527455,0.3,-0.02412717392225339,-0.014875503382650859,-0.009251670539602531
amount20,2018,-0.06572603704867791,0.33064516129032256,-0.032595083586136574,-0.01655903313837123,-0.016036050447765345
amount20,2019,-0.016421721356892186,0.42213114754098363,0.013952681541447503,0.01293164985479221,0.0010210316866552938
amount20,2020,0.016404987994299715,0.5555555555555556,0.020235358232369587,0.007879669743297143,0.012355688489072444
amount20,2021,-0.0955034299571414,0.2962962962962963,-0.00742812835112751,0.022777846913659413,-0.030205975264786925
amount20,2022,-0.09051010056327524,0.1487603305785124,-0.015721314118538585,0.010523981117064254,-0.026245295235602838
amount20,2023,-0.1188766397500556,0.13636363636363635,-0.024883401135608593,0.00029017789626401117,-0.025173579031872603
amount20,2024,-0.05079101298107901,0.3760330578512397,0.0041141755787974955,0.010532535332108135,-0.00641835975331064
amount20,2025,-0.07214914829771482,0.3168724279835391,0.028593254214202824,0.036071935037723275,-0.007478680823520451
amount20,2026,-0.07377975224356825,0.3357142857142857,-0.006686114762959276,-0.004887429341054869,-0.0017986854219044076
