date,equity,cash,holdings
2021-03-25,11593071.356289363,1213305.3562893625,22
2021-03-26,11766079.356289363,1213305.3562893625,22
2021-03-29,11799176.356289363,1213305.3562893625,22
2021-03-30,11706955.356289363,1213305.3562893625,22
2021-03-31,11714671.356289363,1213305.3562893625,22
2021-04-01,11804631.14616076,65.1461607614765,26
2021-04-02,11853476.14616076,65.1461607614765,26
2021-04-06,11889405.14616076,65.1461607614765,26
2021-04-07,11771516.14616076,65.1461607614765,26
2021-04-08,11742225.14616076,65.1461607614765,26
2021-04-09,11628177.14616076,65.1461607614765,26
2021-04-12,11473076.14616076,65.1461607614765,26
2021-04-13,11435521.14616076,65.1461607614765,26
2021-04-14,11607431.14616076,65.1461607614765,26
2021-04-15,11597176.14616076,65.1461607614765,26
2021-04-16,11958844.14616076,65.1461607614765,26
2021-04-19,12285567.14616076,65.1461607614765,26
2021-04-20,12331068.14616076,65.1461607614765,26
2021-04-21,12345221.14616076,65.1461607614765,26
2021-04-22,12321488.14616076,65.1461607614765,26
2021-04-23,12293677.14616076,65.1461607614765,26
2021-04-26,12178648.14616076,65.1461607614765,26
2021-04-27,12165053.14616076,65.1461607614765,26
2021-04-28,12378475.14616076,65.1461607614765,26
2021-04-29,12415591.14616076,65.1461607614765,26
2021-04-30,12327838.14616076,65.1461607614765,26
2021-05-06,12283182.67869756,3159489.678697559,25
2021-05-07,12185471.67869756,3159489.678697559,25
2021-05-10,12130842.67869756,3159489.678697559,25
2021-05-11,12237809.67869756,3159489.678697559,25
2021-05-12,12281474.67869756,3159489.678697559,25
2021-05-13,12331183.67869756,3159489.678697559,25
2021-05-14,12415691.67869756,3159489.678697559,25
2021-05-17,12337333.67869756,3159489.678697559,25
2021-05-18,12427219.67869756,3159489.678697559,25
2021-05-19,12467855.678697558,3159489.678697559,25
2021-05-20,12514058.67869756,3159489.678697559,25
2021-05-21,12520929.67869756,3159489.678697559,25
2021-05-24,12520668.67869756,3159489.678697559,25
2021-05-25,12622761.67869756,3159489.678697559,25
2021-05-26,12672403.67869756,3185784.678697559,25
2021-05-27,12637689.67869756,3185784.678697559,25
2021-05-28,12673868.67869756,3194744.678697559,25
2021-05-31,12778827.078697558,3194744.678697559,25
2021-06-01,12875599.926183157,3292029.126183158,25
2021-06-02,12898468.326183157,3292029.126183158,25
2021-06-03,13041895.126183158,3293279.126183158,25
2021-06-04,13173009.326183159,3293279.126183158,25
2021-06-07,13101729.726183157,3293279.126183158,25
2021-06-08,13202160.026183158,3293279.126183158,25
2021-06-09,13179104.026183158,3293279.126183158,25
2021-06-10,13145632.526183156,3293279.126183158,25
2021-06-11,13039056.526183158,3293279.126183158,25
2021-06-15,12983863.926183159,3293279.126183158,25
2021-06-16,12805112.126183158,3314807.126183158,25
2021-06-17,12863611.726183157,3314807.126183158,25
2021-06-18,12898459.026183158,3314807.126183158,25
2021-06-21,12886956.426183157,3314807.126183158,25
2021-06-22,12933924.026183158,3314807.126183158,25
2021-06-23,12991784.626183158,3314807.126183158,25
2021-06-24,12910991.426183159,3314807.126183158,25
2021-06-25,12964871.626183158,3314807.126183158,25
2021-06-28,13067377.526183158,3314807.126183158,25
2021-06-29,12976739.826183159,3323907.126183158,25
2021-06-30,13086056.526183158,3323907.126183158,25
2021-07-01,13110159.684593158,4531462.2845931575,28
2021-07-02,13080028.884593157,4531462.2845931575,28
2021-07-05,13099362.884593157,4531462.2845931575,28
2021-07-06,13079049.284593157,4531462.2845931575,28
2021-07-07,13097529.084593158,4531462.2845931575,28
2021-07-08,12988180.884593159,4540922.2845931575,28
2021-07-09,13078444.884593157,4540922.2845931575,28
2021-07-12,13113888.884593157,4540922.2845931575,28
2021-07-13,13183081.284593157,4540922.2845931575,28
2021-07-14,13193047.684593158,4540922.2845931575,28
2021-07-15,13247668.684593158,4540922.2845931575,28
2021-07-16,13246147.484593159,4540922.2845931575,28
2021-07-19,13376664.884593157,4547466.2845931575,28
2021-07-20,13333583.084593156,4547466.2845931575,28
2021-07-21,13273992.084593158,4548524.2845931575,28
2021-07-22,13249274.484593159,4548524.2845931575,28
2021-07-23,13157914.084593156,4548524.2845931575,28
2021-07-26,13007185.684593158,4548524.2845931575,28
2021-07-27,12820703.684593156,4548524.2845931575,28
2021-07-28,12813584.484593157,4548524.2845931575,28
2021-07-29,12888780.084593156,4548524.2845931575,28
2021-07-30,12880297.884593157,4548524.2845931575,28
2021-08-02,12907365.303912882,2480795.10391288,29
2021-08-03,12934828.90391288,2480795.10391288,29
2021-08-04,13067455.70391288,2480795.10391288,29
2021-08-05,13093466.103912879,2480795.10391288,29
2021-08-06,13197250.90391288,2480795.10391288,29
2021-08-09,13271661.103912879,2480795.10391288,29
2021-08-10,13382296.503912881,2480795.10391288,29
2021-08-11,13454115.30391288,2480795.10391288,29
2021-08-12,13410161.20391288,2480795.10391288,29
2021-08-13,13454693.40391288,2480795.10391288,29
2021-08-16,13513580.603912879,2480795.10391288,29
2021-08-17,13340153.40391288,2480795.10391288,29
2021-08-18,13509094.20391288,2480795.10391288,29
2021-08-19,13355819.60391288,2480795.10391288,29
2021-08-20,13347329.503912881,2480795.10391288,29
2021-08-23,13625585.30391288,2480795.10391288,29
2021-08-24,13688593.90391288,2480795.10391288,29
2021-08-25,13817885.603912879,2480795.10391288,29
2021-08-26,13856391.30391288,2480795.10391288,29
2021-08-27,13857912.80391288,2480795.10391288,29
2021-08-30,13914446.30391288,2480795.10391288,29
2021-08-31,13949143.70391288,2480795.10391288,29
2021-09-01,14001467.721334599,921163.7213345998,23
2021-09-02,14137044.721334599,921163.7213345998,23
2021-09-03,14164642.721334599,921163.7213345998,23
2021-09-06,14276430.721334599,921163.7213345998,23
2021-09-07,14453059.721334599,921163.7213345998,23
2021-09-08,14564541.721334599,921163.7213345998,23
2021-09-09,14705427.721334599,921163.7213345998,23
2021-09-10,14644637.721334599,921163.7213345998,23
2021-09-13,14899192.721334599,921163.7213345998,23
2021-09-14,14566430.721334599,921163.7213345998,23
2021-09-15,14662937.721334599,921163.7213345998,23
2021-09-16,14503580.721334599,921163.7213345998,23
2021-09-17,14387535.721334599,921163.7213345998,23
2021-09-22,14712378.721334599,921163.7213345998,23
2021-09-23,15040301.721334599,921163.7213345998,23
2021-09-24,14792617.721334599,921163.7213345998,23
2021-09-27,14274303.721334599,921163.7213345998,23
2021-09-28,14506266.721334599,921163.7213345998,23
2021-09-29,14304696.721334599,921163.7213345998,23
2021-09-30,14325899.721334599,921163.7213345998,23
2021-10-08,14541204.7032414,3503250.7032414004,28
2021-10-11,14486445.7032414,3503250.7032414004,28
2021-10-12,14375705.7032414,3503250.7032414004,28
2021-10-13,14265217.7032414,3503250.7032414004,28
2021-10-14,14367317.7032414,3503250.7032414004,28
2021-10-15,14183409.7032414,3503250.7032414004,28
2021-10-18,14238173.7032414,3503250.7032414004,28
2021-10-19,14241173.7032414,3503250.7032414004,28
2021-10-20,14176250.7032414,3503250.7032414004,28
2021-10-21,14160890.7032414,3503250.7032414004,28
2021-10-22,14006536.7032414,3503250.7032414004,28
2021-10-25,13941497.7032414,3503250.7032414004,28
2021-10-26,13898170.7032414,3503250.7032414004,28
2021-10-27,13743054.7032414,3503250.7032414004,28
2021-10-28,13711773.7032414,3503250.7032414004,28
2021-10-29,13859063.7032414,3503250.7032414004,28
2021-11-01,13947458.408685401,1553670.4086854013,29
2021-11-02,13763860.408685401,1553670.4086854013,29
2021-11-03,13834022.408685401,1553670.4086854013,29
2021-11-04,13847620.408685401,1553670.4086854013,29
2021-11-05,13735643.408685401,1553670.4086854013,29
2021-11-08,13788932.408685401,1553670.4086854013,29
2021-11-09,13774208.408685401,1553670.4086854013,29
2021-11-10,13828159.408685401,1553670.4086854013,29
2021-11-11,13918328.408685401,1553670.4086854013,29
2021-11-12,13897061.408685401,1553670.4086854013,29
2021-11-15,13974890.408685401,1553670.4086854013,29
2021-11-16,13865363.408685401,1553670.4086854013,29
2021-11-17,13931264.408685401,1553670.4086854013,29
2021-11-18,13846842.408685401,1553670.4086854013,29
2021-11-19,13955953.408685401,1553670.4086854013,29
2021-11-22,13903785.408685401,1553670.4086854013,29
2021-11-23,13924378.408685401,1553670.4086854013,29
2021-11-24,13956727.408685401,1553670.4086854013,29
