date,equity_local,cash_local,holdings_local,equity_platform,cash_platform,holdings_platform,equity_gap,equity_gap_pct
2021-08-26,13856391.30391288,2480795.10391288,29,14802574.4,924681.4,35,-946183.0960871205,-0.06392017162143904
2021-08-27,13857912.80391288,2480795.10391288,29,14675316.4,924681.4,35,-817403.5960871205,-0.05569921450464399
2021-08-30,13914446.30391288,2480795.10391288,29,14758059.4,924681.4,35,-843613.0960871205,-0.057162874414716125
2021-08-31,13949143.70391288,2480795.10391288,29,14776442.4,924681.4,35,-827298.6960871201,-0.055987677797676105
2021-09-01,14001467.721334599,921163.7213345998,23,14822437.78,1500132.78,29,-820970.0586654004,-0.05538697958126293
2021-09-02,14137044.721334599,921163.7213345998,23,14945864.78,1500132.78,29,-808820.0586654004,-0.054116645009911646
2021-09-03,14164642.721334599,921163.7213345998,23,14836312.78,1500132.78,29,-671670.0586654004,-0.04527203413848491
2021-09-06,14276430.721334599,921163.7213345998,23,14960700.78,1500132.78,29,-684270.0586654004,-0.045737834659467125
2021-09-07,14453059.721334599,921163.7213345998,23,15109333.78,1510950.78,29,-656274.0586654004,-0.04343500965834113
2021-09-08,14564541.721334599,921163.7213345998,23,15154222.78,1510950.78,29,-589681.0586654004,-0.0389119961627884
2021-09-09,14705427.721334599,921163.7213345998,23,15201249.78,1510950.78,29,-495822.0586654004,-0.032617190417971065
2021-09-10,14644637.721334599,921163.7213345998,23,15110950.78,1510950.78,29,-466313.0586654004,-0.030859279833178044
2021-09-13,14899192.721334599,921163.7213345998,23,15299258.78,1510950.78,29,-400066.0586654004,-0.026149375235641314
2021-09-14,14566430.721334599,921163.7213345998,23,15074694.78,1510950.78,29,-508264.0586654004,-0.033716374764663715
2021-09-15,14662937.721334599,921163.7213345998,23,15190458.78,1510950.78,29,-527521.0586654004,-0.03472713143858053
2021-09-16,14503580.721334599,921163.7213345998,23,15051865.78,1510950.78,29,-548285.0586654004,-0.03642638505280371
2021-09-17,14387535.721334599,921163.7213345998,23,15006748.78,1510950.78,29,-619213.0586654004,-0.041262305896041074
2021-09-22,14712378.721334599,921163.7213345998,23,15149964.78,1510950.78,29,-437586.0586654004,-0.028883635376042105
2021-09-23,15040301.721334599,921163.7213345998,23,15282971.78,1510950.78,29,-242670.05866540037,-0.015878460168523567
2021-09-24,14792617.721334599,921163.7213345998,23,14907950.78,1510950.78,29,-115333.05866540037,-0.007736345549257284
2021-09-27,14274303.721334599,921163.7213345998,23,14579100.78,1510950.78,29,-304797.0586654004,-0.020906437458991234
2021-09-28,14506266.721334599,921163.7213345998,23,14665162.78,1510950.78,29,-158896.05866540037,-0.01083493317115436
2021-09-29,14304696.721334599,921163.7213345998,23,14267820.78,1510950.78,29,36875.94133459963,0.00258455316359818
2021-09-30,14325899.721334599,921163.7213345998,23,14384381.78,1510950.78,29,-58482.05866540037,-0.004065663687174537
2021-10-08,14541204.7032414,3503250.7032414004,28,14557321.62,2288223.62,35,-16116.91675859876,-0.0011071347586671942
2021-10-11,14486445.7032414,3503250.7032414004,28,14428223.62,2288223.62,35,58222.08324140124,0.004035291160908727
2021-10-12,14375705.7032414,3503250.7032414004,28,14293210.62,2288223.62,35,82495.08324140124,0.005771627203615681
2021-10-13,14265217.7032414,3503250.7032414004,28,14160731.62,2292498.62,35,104486.08324140124,0.007378579443863664
2021-10-14,14367317.7032414,3503250.7032414004,28,14291328.62,2292498.62,35,75989.08324140124,0.005317146170374931
2021-10-15,14183409.7032414,3503250.7032414004,28,14114346.62,2292498.62,35,69063.08324140124,0.0048931123133633125
2021-10-18,14238173.7032414,3503250.7032414004,28,14227299.62,2292498.62,35,10874.08324140124,0.0007643111153794457
2021-10-19,14241173.7032414,3503250.7032414004,28,14303503.62,2292498.62,35,-62329.91675859876,-0.004357667772492135
2021-10-20,14176250.7032414,3503250.7032414004,28,14225709.62,2292498.62,35,-49458.91675859876,-0.0034767275643714513
