date,equity,cash,positions
2020-11-03,11985331.190743078,10755313.280743077,1
2020-11-04,12011939.870743077,10755313.280743077,1
2020-11-05,12043511.280743077,10755313.280743077,1
2020-11-06,11914302.800962243,9551549.000962242,2
2020-11-09,12034680.980962243,9551549.000962242,2
2020-11-10,11950171.590962242,9551549.000962242,2
2020-11-11,11853308.170962242,9551549.000962242,2
2020-11-12,11903137.740962243,9551549.000962242,2
2020-11-13,11964054.510962242,9551549.000962242,2
2020-11-16,12024534.680962242,9551549.000962242,2
2020-11-17,11991319.880962241,9551549.000962242,2
2020-11-18,11958977.030962244,9551549.000962242,2
2020-11-19,11975545.500962242,9551549.000962242,2
2020-11-20,11952958.150962243,9551549.000962242,2
2020-11-23,11932111.120962244,9551549.000962242,2
2020-11-24,11871010.900962243,9551549.000962242,2
2020-11-25,11803584.440962242,9551549.000962242,2
2020-11-26,11787497.592633951,10657051.052633952,1
2020-11-27,11752969.662633952,10657051.052633952,1
2020-11-30,11745345.89393927,11745345.89393927,0
2020-12-01,11745345.89393927,11745345.89393927,0
2020-12-02,11745345.89393927,11745345.89393927,0
2020-12-03,11745345.89393927,11745345.89393927,0
2020-12-04,11745345.89393927,11745345.89393927,0
2020-12-07,11745345.89393927,11745345.89393927,0
2020-12-08,11745345.89393927,11745345.89393927,0
2020-12-09,11745345.89393927,11745345.89393927,0
2020-12-10,11745345.89393927,11745345.89393927,0
2020-12-11,11745345.89393927,11745345.89393927,0
2020-12-14,11745345.89393927,11745345.89393927,0
2020-12-15,11745345.89393927,11745345.89393927,0
2020-12-16,11745345.89393927,11745345.89393927,0
2020-12-17,11745345.89393927,11745345.89393927,0
2020-12-18,11745345.89393927,11745345.89393927,0
2020-12-21,11745345.89393927,11745345.89393927,0
2020-12-22,11745345.89393927,11745345.89393927,0
2020-12-23,11745345.89393927,11745345.89393927,0
2020-12-24,11692576.045418117,10570467.855418118,1
2020-12-25,11783746.79580361,9401514.83580361,2
2020-12-28,11726092.685803609,9401514.83580361,2
2020-12-29,11719505.45580361,9401514.83580361,2
2020-12-30,11664060.055803608,9401514.83580361,2
2020-12-31,11749584.06580361,9401514.83580361,2
2021-01-04,11756071.30580361,9401514.83580361,2
2021-01-05,11790369.56580361,9401514.83580361,2
2021-01-06,11716896.785803609,9401514.83580361,2
2021-01-07,11586704.285803609,9401514.83580361,2
2021-01-08,11573465.843608648,9424495.123608647,2
2021-01-11,11461218.703608647,9424495.123608647,2
2021-01-12,11472132.220703252,10475890.42070325,1
2021-01-13,11338095.896864854,9443091.776864853,2
2021-01-14,11412791.13826387,9343039.39826387,2
2021-01-15,11460547.36892121,8202213.068921208,3
2021-01-18,11555764.588921208,8202213.068921208,3
2021-01-19,11605688.77892121,8202213.068921208,3
2021-01-20,11568034.478921209,8202213.068921208,3
2021-01-21,11682536.68892121,8202213.068921208,3
2021-01-22,11635327.008921208,8202213.068921208,3
2021-01-25,11604362.458921209,8202213.068921208,3
2021-01-26,11598385.837072317,9167523.227072317,2
2021-01-27,11547868.357072316,9167523.227072317,2
2021-01-28,11445258.397072317,9167523.227072317,2
2021-01-29,11366258.527072318,9167523.227072317,2
2021-02-01,11417660.39135872,8145659.47135872,3
2021-02-02,11408468.851358721,8145659.47135872,3
2021-02-03,11283184.49135872,8145659.47135872,3
2021-02-04,11268107.411358722,8145659.47135872,3
2021-02-05,11205557.291869443,9188980.461869443,2
2021-02-08,11175618.58334388,10118808.18334388,1
2021-02-09,11176394.18334388,10118808.18334388,1
2021-02-10,11194232.98334388,10118808.18334388,1
2021-02-18,11194159.678421985,10187807.888421984,1
2021-02-19,11223909.928421985,10187807.888421984,1
2021-02-22,11274683.688421985,10187807.888421984,1
2021-02-23,11258420.218421984,10187807.888421984,1
2021-02-24,11263180.258421984,10187807.888421984,1
2021-02-25,11210026.478421984,10187807.888421984,1
2021-02-26,11200109.728421984,10187807.888421984,1
2021-03-01,11258138.384941759,9177822.114941759,2
2021-03-02,11208952.064941758,9177822.114941759,2
2021-03-03,11207674.114941759,9177822.114941759,2
2021-03-04,11159088.884941759,9177822.114941759,2
2021-03-05,11135953.883261465,10096678.483261464,1
2021-03-08,11088353.483261464,10096678.483261464,1
2021-03-09,10993808.483645834,8987184.273645835,2
2021-03-10,10952428.053645834,8987184.273645835,2
2021-03-11,10968356.053421993,9884647.073421992,1
2021-03-12,10969444.843421992,9884647.073421992,1
2021-03-15,10926619.103421992,9884647.073421992,1
2021-03-16,10948031.973421993,9884647.073421992,1
2021-03-17,10937144.073421992,9884647.073421992,1
2021-03-18,11014448.163421992,9884647.073421992,1
2021-03-19,10963275.033421993,9884647.073421992,1
2021-03-22,10966178.473421993,9884647.073421992,1
2021-03-23,10910650.183421992,9884647.073421992,1
2021-03-24,10900383.937857086,10900383.937857086,0
2021-03-25,10900383.937857086,10900383.937857086,0
2021-03-26,10900383.937857086,10900383.937857086,0
2021-03-29,10900383.937857086,10900383.937857086,0
2021-03-30,10900383.937857086,10900383.937857086,0
2021-03-31,10900383.937857086,10900383.937857086,0
2021-04-01,10900383.937857086,10900383.937857086,0
2021-04-02,10900383.937857086,10900383.937857086,0
2021-04-06,10899150.176102487,9810040.376102487,1
2021-04-07,10885498.976102486,9810040.376102487,1
2021-04-08,10849518.954257604,8721267.074257603,2
2021-04-09,10857728.414257603,8721267.074257603,2
2021-04-12,10784700.534257602,8721267.074257603,2
2021-04-13,10719987.974257603,8721267.074257603,2
2021-04-14,10846308.404719051,9696650.804719051,1
2021-04-15,10891993.709943602,9099644.449943602,2
2021-04-16,10938988.952711206,8282365.712711207,3
2021-04-19,11011746.832711207,8282365.712711207,3
2021-04-20,10962131.812711207,8282365.712711207,3
2021-04-21,10960370.332711207,8282365.712711207,3
2021-04-22,10987968.392711207,8282365.712711207,3
2021-04-23,10961214.992711207,8282365.712711207,3
2021-04-26,10996587.892711207,8282365.712711207,3
2021-04-27,10962026.362711206,8282365.712711207,3
2021-04-28,10997084.663652526,7842257.973652527,3
2021-04-29,10957583.022990637,6850913.132990637,4
2021-04-30,11093112.486886393,5863114.286886395,5
2021-05-06,10977055.186150076,6543719.796150075,5
2021-05-07,10875670.146150075,6543719.796150075,5
2021-05-10,10900334.238360187,7232451.938360187,4
2021-05-11,10880200.841873758,8131411.3418737585,3
2021-05-12,10957032.491153775,7532728.001153775,4
2021-05-13,10943164.241153775,7532728.001153775,4
2021-05-14,10974226.23505475,6546039.645054749,5
2021-05-17,11069464.28281197,7411761.42281197,4
2021-05-18,11316729.552811971,7411761.42281197,4
2021-05-19,11472886.272811972,7411761.42281197,4
2021-05-20,11473501.95281197,7411761.42281197,4
2021-05-21,11480168.121482912,6779932.361482914,5
2021-05-24,11476373.911482913,6779932.361482914,5
2021-05-25,11613483.021482913,6779932.361482914,5
2021-05-26,11624402.211603064,7393429.061603064,5
2021-05-27,11771391.141603064,7393429.061603064,5
2021-05-28,11785222.145249689,8582502.04524969,4
2021-05-31,11977126.924987439,9214417.62498744,4
2021-06-01,11973235.554900816,10249228.554900816,3
2021-06-02,11927384.694900816,10249228.554900816,3
2021-06-03,11857375.464900816,10249228.554900816,3
2021-06-04,11863828.194900816,10249228.554900816,3
2021-06-07,11865171.564900815,10249228.554900816,3
2021-06-08,11867387.334900815,10249228.554900816,3
2021-06-09,11834795.814900815,10249228.554900816,3
2021-06-10,11914494.144900816,10249228.554900816,3
2021-06-11,11958990.563169066,10595367.443169065,2
2021-06-15,11966923.342095062,11566391.042095061,1
2021-06-16,11946596.042095061,11566391.042095061,1
2021-06-17,11966287.113192583,10370630.463192582,2
2021-06-18,11955173.713192582,10370630.463192582,2
2021-06-21,11984514.722519688,10779324.122519689,1
2021-06-22,11970403.92251969,10779324.122519689,1
2021-06-23,11944106.522519689,10779324.122519689,1
2021-06-24,11930637.122519689,10779324.122519689,1
2021-06-25,11946672.122519689,10779324.122519689,1
2021-06-28,11949879.122519689,10779324.122519689,1
2021-06-29,11949879.122519689,10779324.122519689,1
2021-06-30,11965914.122519689,10779324.122519689,1
2021-07-01,11917809.122519689,10779324.122519689,1
2021-07-02,11892794.522519689,10779324.122519689,1
2021-07-05,11919733.32251969,10779324.122519689,1
2021-07-06,11901132.722519688,10779324.122519689,1
2021-07-07,11954405.567270126,9589438.567270126,2
2021-07-08,12193030.527270127,9589438.567270126,2
2021-07-09,12333807.007270126,9589438.567270126,2
2021-07-12,12349665.326870026,10340590.976870026,2
2021-07-13,12283434.526870027,10340590.976870026,2
2021-07-14,12204861.976870026,10340590.976870026,2
2021-07-15,12194147.886870027,10340590.976870026,2
2021-07-16,12283373.706870027,10340590.976870026,2
2021-07-19,12261514.232631627,11107725.352631627,1
2021-07-20,12269543.812631626,11107725.352631627,1
2021-07-21,12304441.602631627,11107725.352631627,1
2021-07-22,12543784.852631627,11107725.352631627,1
2021-07-23,12631310.834351784,11860341.704351783,1
2021-07-26,12660464.20380617,12660464.20380617,0
2021-07-27,12660464.20380617,12660464.20380617,0
2021-07-28,12660464.20380617,12660464.20380617,0
2021-07-29,12660464.20380617,12660464.20380617,0
2021-07-30,12660464.20380617,12660464.20380617,0
2021-08-02,12660464.20380617,12660464.20380617,0
2021-08-03,12660464.20380617,12660464.20380617,0
2021-08-04,12660464.20380617,12660464.20380617,0
2021-08-05,12660464.20380617,12660464.20380617,0
2021-08-06,12660464.20380617,12660464.20380617,0
2021-08-09,12660464.20380617,12660464.20380617,0
2021-08-10,12660464.20380617,12660464.20380617,0
2021-08-11,12660464.20380617,12660464.20380617,0
2021-08-12,12660464.20380617,12660464.20380617,0
2021-08-13,12660464.20380617,12660464.20380617,0
2021-08-16,12660464.20380617,12660464.20380617,0
2021-08-17,12641097.70888216,11394028.87888216,1
2021-08-18,12634325.418882161,11394028.87888216,1
2021-08-19,12615943.48888216,11394028.87888216,1
2021-08-20,12578212.15888216,11394028.87888216,1
2021-08-23,12597561.55888216,11394028.87888216,1
2021-08-24,12602398.90888216,11394028.87888216,1
2021-08-25,12601431.438882161,11394028.87888216,1
2021-08-26,12581114.56888216,11394028.87888216,1
2021-08-27,12548220.58888216,11394028.87888216,1
2021-08-30,12537036.847301468,11415601.867301468,1
2021-08-31,12681096.487301469,11415601.867301468,1
2021-09-01,12626835.610855682,10462674.790855682,2
2021-09-02,12620949.010855682,10462674.790855682,2
2021-09-03,12586938.984205058,9513812.184205057,3
2021-09-06,12623626.464205056,9513812.184205057,3
2021-09-07,12612152.314205058,9513812.184205057,3
2021-09-08,12562453.364205057,9513812.184205057,3
2021-09-09,12579944.214205056,9513812.184205057,3
2021-09-10,12557626.284205057,9513812.184205057,3
2021-09-13,12474992.214205056,9513812.184205057,3
2021-09-14,12511085.094205057,9513812.184205057,3
2021-09-15,12464594.634205058,9513812.184205057,3
2021-09-16,12451039.114205057,9513812.184205057,3
2021-09-17,12378924.744205058,9513812.184205057,3
2021-09-22,12315610.086690985,11383322.046690984,1
2021-09-23,12304163.166690983,11383322.046690984,1
2021-09-24,12261555.186690984,11383322.046690984,1
2021-09-27,12256749.025854122,12256749.025854122,0
2021-09-28,12232050.509407716,11153975.509407716,1
2021-09-29,12223857.139407717,11153975.509407716,1
2021-09-30,12205180.419407716,11153975.509407716,1
2021-10-08,12240764.329407716,11153975.509407716,1
2021-10-11,12200823.509407716,11153975.509407716,1
2021-10-12,12167514.709407715,11153975.509407716,1
2021-10-13,12166237.464824736,12166237.464824736,0
2021-10-14,12166237.464824736,12166237.464824736,0
2021-10-15,12166237.464824736,12166237.464824736,0
2021-10-18,12166237.464824736,12166237.464824736,0
2021-10-19,12166237.464824736,12166237.464824736,0
2021-10-20,12166237.464824736,12166237.464824736,0
2021-10-21,12166237.464824736,12166237.464824736,0
2021-10-22,12166237.464824736,12166237.464824736,0
2021-10-25,12166237.464824736,12166237.464824736,0
2021-10-26,12166237.464824736,12166237.464824736,0
2021-10-27,12166237.464824736,12166237.464824736,0
2021-10-28,12118877.408530619,10949261.62853062,1
2021-10-29,12258222.18412938,8524670.23412938,3
2021-11-01,12328751.735876765,6323103.015876765,5
2021-11-02,12213029.373892128,2615222.6238921294,8
2021-11-03,12170843.463832717,2392325.603832717,8
2021-11-04,12768138.150441876,1173433.7004418771,9
2021-11-05,12914801.620441874,1173433.7004418771,9
2021-11-08,12960077.440441877,1173433.7004418771,9
2021-11-09,13490373.408230696,809140.4382306932,10
2021-11-10,13605573.714830074,2410425.8048300734,9
2021-11-11,13799287.634830073,2410425.8048300734,9
2021-11-12,14187225.375136558,1778371.2251365585,10
2021-11-15,14289646.87512759,4182875.8251275904,9
2021-11-16,14179899.07512759,4182875.8251275904,9
2021-11-17,14286599.290127687,4988891.140127686,8
2021-11-18,14274058.197056476,5846732.757056475,7
2021-11-19,14427231.185881477,6659313.425881477,6
2021-11-22,14610165.48115253,5212597.441152532,7
2021-11-23,14762238.31115253,5212597.441152532,7
2021-11-24,14781807.367091214,6765003.367091214,7
2021-11-25,14901043.097091215,6765003.367091214,7
2021-11-26,14835646.387091216,6765003.367091214,7
2021-11-29,14847947.137091216,6765003.367091214,7
2021-11-30,14842540.727091216,6765003.367091214,7
2021-12-01,14876140.526639238,8077069.246639238,6
2021-12-02,14855684.100204283,12513609.690204283,2
2021-12-03,14889373.307480624,13310372.747480623,1
2021-12-06,14929577.910087138,11822246.560087139,2
2021-12-07,14913450.87008714,11822246.560087139,2
2021-12-08,15034535.330087138,11822246.560087139,2
2021-12-09,15053228.08008714,11822246.560087139,2
2021-12-10,14995636.570087139,11822246.560087139,2
2021-12-13,15040026.79008714,11822246.560087139,2
2021-12-14,15045547.76008714,11822246.560087139,2
2021-12-15,14884234.69008714,11822246.560087139,2
2021-12-16,14852117.730087139,11822246.560087139,2
2021-12-17,14790106.720087139,11822246.560087139,2
2021-12-20,15043257.21008714,11822246.560087139,2
2021-12-21,15282105.49889274,13831459.278892739,1
2021-12-22,15294204.052370481,15294204.052370481,0
2021-12-23,15294204.052370481,15294204.052370481,0
2021-12-24,15294204.052370481,15294204.052370481,0
2021-12-27,15294204.052370481,15294204.052370481,0
2021-12-28,15294204.052370481,15294204.052370481,0
2021-12-29,15294204.052370481,15294204.052370481,0
2021-12-30,15294204.052370481,15294204.052370481,0
2021-12-31,15294204.052370481,15294204.052370481,0
2022-01-04,15294204.052370481,15294204.052370481,0
2022-01-05,15264262.584126482,13764477.584126482,1
2022-01-06,15190183.184126481,13764477.584126482,1
2022-01-07,15170049.084126482,13764477.584126482,1
2022-01-10,15179734.259973342,15179734.259973342,0
2022-01-11,15179734.259973342,15179734.259973342,0
