rank,source,variant,name_cn,design_cagr,design_sharpe,design_mdd,recent_cagr,recent_sharpe,recent_mdd,full_cagr,full_sharpe,full_mdd,eligible,candidate_id,n_design_cagr,n_design_sharpe,design_utility,n_recent_cagr,n_recent_sharpe,recent_utility,stability_penalty,raw_utility,constraint_penalty,loss
34,sharpe_frontier,voltarget_35_22,进攻35%核心+目标波动22%,0.3919486879244176,2.128742414908808,-0.1755049083966484,0.3029892300751866,1.884688491776008,-0.112851944475249,0.3697381009639722,2.073243168665494,-0.1755049083966484,True,sharpe_frontier:voltarget_35_22,0.31552861024286993,0.7689068589740222,0.42887317242565803,0.3103629458132816,0.6802630225266043,0.4028379649916123,0.00520704148680915,0.40804500647842146,0.0,-0.40804500647842146
35,sharpe_frontier,voltarget_35_18,进攻35%核心+目标波动18%,0.3524714449297954,2.108672994327419,-0.1637106805561049,0.3113383998359667,1.9968811753567035,-0.1011759836780124,0.3421714255392596,2.0830113015782104,-0.1637106805561049,True,sharpe_frontier:voltarget_35_18,0.22187945825598263,0.7155611072553881,0.345299870505834,0.34776382670354555,0.9000470389346505,0.48583462976132175,0.02810695185109755,0.40151377420802903,0.0,-0.40151377420802903
36,sharpe_frontier,voltarget_80_18,进攻80%核心+目标波动18%,0.3707924720589006,1.837031488533292,-0.2226613504004144,0.3790708954850323,1.9094024051215737,-0.1433243204449095,0.372409208155301,1.8545491204392668,-0.2226613504004144,True,sharpe_frontier:voltarget_80_18,0.2653411724998873,0.0,0.19900587937491548,0.6511778277064827,0.7286772592031164,0.6705526855806412,0.09430936124114514,0.38762460185720576,0.0,-0.38762460185720576
37,public_structures,core_trend_filter,组合净值趋势确认,0.4049146223640769,2.0569361979326946,-0.1367716514194481,0.2902524489338949,1.889184407963731,-0.1260594909681905,0.376181508991614,2.015947261160897,-0.1367716514194481,True,public_structures:core_trend_filter,0.3462868059242927,0.5780415269567001,0.4042254861823945,0.25330735249806063,0.6890704642031462,0.362248130424332,0.0083954711516125,0.3706436015759445,0.0,-0.3706436015759445
38,sharpe_frontier,voltarget_35_26,进攻35%核心+目标波动26%,0.4276185878716603,2.156418751677959,-0.1803719714225181,0.2944258348045865,1.800766435045445,-0.123571604626479,0.3941235406251167,2.0767713543828723,-0.1803719714225181,True,sharpe_frontier:voltarget_35_26,0.4001458638330318,0.8424722608141499,0.5107274630783114,0.2720024218679597,0.5158607985598291,0.33296701604092704,0.035552089407476874,0.36851910544840394,0.0,-0.36851910544840394
39,public_structures,sleeve_momentum,收益源风险动量月配,0.5560333091218139,2.097189672104971,-0.2422692532007313,0.3170189537694634,1.54126896884791,-0.2045339165659644,0.4945869488238432,1.975136199099394,-0.2422692532007313,True,public_structures:sleeve_momentum,0.7047752866462618,0.6850377319691157,0.6998408979769752,0.3732103953019519,0.007508617754885904,0.2817849509151854,0.08361118941235797,0.3653961403275434,0.0,-0.3653961403275434
40,sharpe_frontier,voltarget_50_15,进攻50%核心+目标波动15%,0.3198439510933941,1.9742144595851991,-0.182376089500775,0.3218123166035669,2.0564026185508464,-0.1075393928826905,0.3200098307837917,1.9936707840705945,-0.182376089500775,True,sharpe_frontier:voltarget_50_15,0.14447949570913987,0.3581620691655049,0.19790013907323112,0.394682709024002,1.0,0.5460120317680015,0.06962237853895407,0.33714489615113924,0.0,-0.33714489615113924
41,sharpe_frontier,invvol_90,90日逆波动月配,0.509571170837684,2.186636735160922,-0.1791924223453614,0.2778214461995207,1.71834462796272,-0.1214311406674867,0.4500308798480446,2.083651020608467,-0.1791924223453614,True,sharpe_frontier:invvol_90,0.5945563473348466,0.9227935156198206,0.6766156394060902,0.1976215219381327,0.35439754425393544,0.23681552751708337,0.08796002237780137,0.3247755498948847,0.0,-0.3247755498948847
42,sharpe_frontier,fixed_30_70,固定日配比 进攻30%/防守70%,0.5069053071717866,2.2216305563151497,-0.1743001824689776,0.2718333203033458,1.7110638911912368,-0.1212851953558701,0.4464575109722561,2.110322245845125,-0.1743001824689776,True,sharpe_frontier:fixed_30_70,0.5882323020701367,1.0,0.6911742265526025,0.17079715618493024,0.34013467506340256,0.21313153590454834,0.09560853812961084,0.3087400740341592,0.0,-0.3087400740341592
43,sharpe_frontier,voltarget_65_15,进攻65%核心+目标波动15%,0.3139997316015155,1.8707218085492876,-0.190312713830584,0.3267672565347936,1.9730774434279288,-0.1169610665665548,0.3167454135792427,1.895341419060832,-0.190312713830584,True,sharpe_frontier:voltarget_65_15,0.1306156552298485,0.08307225057928087,0.11872980406720658,0.41687882234975465,0.8534158358843765,0.5260130757334102,0.08145665433324073,0.28164311273368803,0.0,-0.28164311273368803
44,sharpe_frontier,voltarget_80_15,进攻80%核心+目标波动15%,0.3107116063987301,1.803750508542846,-0.1894853986824111,0.3261857439396936,1.910455812051863,-0.119935731950627,0.3141032632960809,1.8294615579347573,-0.1894853986824111,True,sharpe_frontier:voltarget_80_15,0.12281546166239204,0.0,0.09211159624679403,0.414273882705613,0.7307408697582963,0.49339062946878387,0.08025580664439796,0.25262320953559,0.0,-0.25262320953559
45,sharpe_frontier,invvol_60,60日逆波动月配,0.5027029952977706,2.19172581895265,-0.1825673237796803,0.2490025008069363,1.5909747478942184,-0.1261768858872812,0.4371463660948114,2.06323225717604,-0.1825673237796803,True,sharpe_frontier:invvol_60,0.5782634462551641,0.9363206126940931,0.6677777378648964,0.06852438115723171,0.10488159617759225,0.07761368491232185,0.1180328105905149,0.19564649550283675,0.0,-0.19564649550283675
46,public_structures,minimum_variance,双源最小方差月配,0.4955211896804876,2.269283439260365,-0.1617977642813142,0.2367823026585371,1.6431774736299156,-0.1153932726037981,0.4285585005840178,2.135506608162385,-0.1617977642813142,True,public_structures:minimum_variance,0.5612265420852138,1.0,0.6709199065639104,0.013782869306477501,0.20714606087761817,0.06212366719926267,0.12175924787292956,0.18388291507219218,0.0,-0.18388291507219218
47,sharpe_frontier,invvol_20,20日逆波动月配,0.5008318872743212,2.2058425543849056,-0.1941491338120667,0.2445730733588056,1.582496202290168,-0.1370609174473612,0.4345659956992138,2.0729222028829524,-0.1941491338120667,True,sharpe_frontier:invvol_20,0.5738247452117358,0.9738437619246736,0.6738294993899703,0.048682349776123,0.08827223497253048,0.058579821075224865,0.12304993566294908,0.18162975673817394,0.0,-0.18162975673817394
48,sharpe_frontier,fixed_20_80,固定日配比 进攻20%/防守80%,0.4668677094226243,2.1924727152241155,-0.1619256255849693,0.2363055936432734,1.6403382233489332,-0.1154347192427416,0.4075846951063762,2.0732495716124406,-0.1619256255849693,True,sharpe_frontier:fixed_20_80,0.4932538589880823,0.9383059088263649,0.604516871447653,0.01164740702579107,0.20158400629058124,0.05913155684198861,0.1090770629211329,0.16820861976312146,0.0,-0.16820861976312146
49,sharpe_frontier,invvol_40,40日逆波动月配,0.4914793505932253,2.165022543723112,-0.1959338187119722,0.2259051778010308,1.4750018914782332,-0.131630802762964,0.422612657598338,2.0196231344408413,-0.1959338187119722,True,sharpe_frontier:invvol_40,0.5516383648398796,0.8653416681504588,0.6300641906675244,0.0,0.0,0.0,0.1260128381335049,0.1260128381335049,0.0,-0.1260128381335049
50,sharpe_frontier,fixed_10_90,固定日配比 进攻10%/防守90%,0.4271946120913967,2.13068962921113,-0.1528614297175861,0.2012690547375493,1.5259373357351853,-0.1104451062582611,0.3691101353231865,2.0020464121203085,-0.1528614297175861,True,sharpe_frontier:fixed_10_90,0.3991400952110925,0.7740826741049768,0.4928757399345636,0.0,0.0,0.0,0.09857514798691272,0.09857514798691272,0.0,-0.09857514798691272
51,sharpe_frontier,baseline2_2,基准2-2升温防守,0.3879125984824505,2.0298415538936627,-0.1455380208298181,0.1667376217333316,1.357577677489462,-0.1068501619159526,0.3310571203107104,1.889860443427275,-0.1455380208298181,True,sharpe_frontier:baseline2_2,0.30595407248614415,0.5060223000961449,0.35597112938864434,0.0,0.0,0.0,0.07119422587772888,0.07119422587772888,0.0,-0.07119422587772888
52,sharpe_frontier,voltarget_35_15,进攻35%核心+目标波动15%,0.3155871046567915,2.0801769652993545,-0.1556343647197056,0.3055061097239231,2.113426147482162,-0.0930036938345437,0.3128669475675032,2.088082890470213,-0.1556343647197056,False,sharpe_frontier:voltarget_35_15,0.13438127129715297,0.6398169130803067,0.26074018174294145,0.3216375418096061,1.0,0.49122815635720457,0.046097594922852626,0.3529353715886467,10.0,9.647064628411353
53,sharpe_frontier,voltarget_35_12,进攻35%核心+目标波动12%,0.2598832701238784,1.991849219780281,-0.1451906116729024,0.264990266098279,2.107554134128744,-0.0846298930036104,0.2608613652144522,2.018975956134487,-0.1451906116729024,False,sharpe_frontier:voltarget_35_12,0.002238890758171817,0.40503634414367046,0.10293825410454648,0.14014305971996527,1.0,0.35510729478997394,0.05043380813708549,0.2038058703787175,10.0,9.796194129621282
54,sharpe_frontier,voltarget_50_12,进攻50%核心+目标波动12%,0.2561081057951662,1.9007571137963264,-0.1564488252824661,0.2685643217055784,2.0220587175302143,-0.094876408815119,0.2588397201633183,1.929828000105774,-0.1564488252824661,False,sharpe_frontier:voltarget_50_12,0.0,0.16290793542150933,0.04072698385537733,0.15615337354682116,0.949369518490076,0.35445740978263485,0.06274608518545151,0.1662191542262803,10.0,9.83378084577372
55,sharpe_frontier,voltarget_65_12,进攻65%核心+目标波动12%,0.2537884301594404,1.8402813196116825,-0.1559246771678868,0.264215750268592,1.936026175426874,-0.0944075703463472,0.2560401484572976,1.8634424768703608,-0.1559246771678868,False,sharpe_frontier:voltarget_65_12,0.0,0.00215956261831594,0.000539890654578985,0.13667354417246472,0.7808328809680192,0.29771337837135337,0.05943469754335488,0.11940928574128876,10.0,9.88059071425871
56,sharpe_frontier,voltarget_80_12,进攻80%核心+目标波动12%,0.2483865171761885,1.771968059443678,-0.1543760028499807,0.2565722507992705,1.836022326748816,-0.0961885140116352,0.2501102367790806,1.787762801933919,-0.1543760028499807,False,sharpe_frontier:voltarget_80_12,0.0,0.0,0.0,0.10243377885115452,0.5849266345244416,0.2230569927694763,0.04461139855389526,0.08922279710779052,10.0,9.91077720289221
