factor,year,rank_ic,top_bottom_spread,days
skew20,2018,-0.05953318884923656,-0.013876095558377287,124
skew20,2019,-0.014804039963763645,-0.0020703585613898404,244
skew20,2020,-0.009674564962212737,-0.0018459786292391624,243
skew20,2021,-0.01767453540630354,-0.0026221922829667062,243
skew20,2022,-0.04165961478731115,-0.008573308599754794,242
skew20,2023,-0.02266761488975439,-0.0014839091435207494,242
skew20,2024,-0.035787664576300796,-0.00960953236060464,242
skew20,2025,-0.0065594847053152576,0.004441416151126188,243
skew20,2026,-0.009620347375284041,-0.0002336022018650935,140
min20,2018,0.027390319467776644,0.0011902545528869012,124
min20,2019,0.06123911192202928,0.005436198359862805,244
min20,2020,0.049672721231427075,0.004618019865634897,243
min20,2021,0.05180034972770769,0.005111946314227596,243
min20,2022,0.0030062590316194413,-0.010023165406179051,242
min20,2023,0.07918187227408174,0.011035077498094637,242
min20,2024,0.06069436794683902,0.01066961554635124,242
min20,2025,0.021565359308773815,-0.00583745712791749,243
min20,2026,0.06954190403669781,0.00968395761598323,140
downvol20,2018,-0.04913248258961204,-0.004198811048553307,124
downvol20,2019,-0.06948386858975304,-0.007737664796999366,244
downvol20,2020,-0.05868211969650707,-0.0059157981034950674,243
downvol20,2021,-0.061269205058941796,-0.008760312049488399,243
downvol20,2022,-0.01858645844835045,0.007434407524023881,242
downvol20,2023,-0.0853592564319787,-0.011688448076616531,242
downvol20,2024,-0.06165457404698788,-0.008793803384716657,242
downvol20,2025,-0.011866471686002786,0.009308016494589517,243
downvol20,2026,-0.07141966665611128,-0.006307857663269859,140
vol_ratio,2018,0.030430482959535023,0.009647119428643852,124
vol_ratio,2019,-0.036562332619555736,-0.006662553113089629,244
vol_ratio,2020,-0.009016962992593778,0.0011932264208598846,243
vol_ratio,2021,-0.04432470416141702,-0.009658305338746842,243
vol_ratio,2022,0.007769662091793072,0.007227441962003601,242
vol_ratio,2023,-0.011766409435689767,0.0025110662249836734,242
vol_ratio,2024,-0.04211486767699708,-0.013267663263406684,242
vol_ratio,2025,-0.052359489661259674,-0.0070015775441781315,243
vol_ratio,2026,-0.03811466144162604,-0.007205550366991652,140
signed_amount20,2018,-0.10143483745274438,-0.01709548719958824,124
signed_amount20,2019,-0.09778092269388038,-0.01760729986245003,244
signed_amount20,2020,-0.08392407391979427,-0.014977882966877938,243
signed_amount20,2021,-0.04314854385892956,-0.0029309588823263656,243
signed_amount20,2022,-0.08154088624977168,-0.011253984794813942,242
signed_amount20,2023,-0.04751785275880378,-0.0006104346010831849,242
signed_amount20,2024,-0.07695605748433282,-0.015046850060888527,242
signed_amount20,2025,-0.05296397898993195,0.0003779592638898377,243
signed_amount20,2026,-0.09429374715512867,-0.014193300637553896,140
