symbol,exchange,raw_exists,qfq_exists,issues,raw_rows,raw_first,raw_last,qfq_rows,qfq_first,qfq_last,trade_days,suspended_days,st_days,issue_count
000333.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,40,0,0
000338.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,0,0,0
000400.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,0,0,0
000401.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,41,0,0
000402.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,0,0,0
000403.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,14,216,0
000404.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,0,0,0
000407.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,10,0,0
000408.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,32,247,0
000409.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,50,680,0
000410.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,18,946,0
000411.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,11,0,0
000413.SZ,SZ,True,True,,1642,2018-01-02,2024-10-11,1642,2018-01-02,2024-10-11,1642,95,62,0
000415.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,119,0,0
000416.SZ,SZ,True,True,,1558,2018-01-02,2024-06-05,1558,2018-01-02,2024-06-05,1558,28,266,0
000417.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,0,0,0
000418.SZ,SZ,True,True,,356,2018-01-02,2019-06-21,356,2018-01-02,2019-06-21,356,62,0,0
000419.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,0,0,0
000420.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,25,0,0
000421.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,10,0,0
000422.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,21,762,0
000423.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,0,0,0
000425.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,23,0,0
000426.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,49,0,0
000428.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,0,0,0
000429.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,0,0,0
000430.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,5,260,0
000488.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,1,382,0
000498.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,11,0,0
000501.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,0,0,0
000502.SZ,SZ,True,True,,1087,2018-01-02,2022-06-27,1087,2018-01-02,2022-06-27,1087,47,262,0
000503.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,20,0,0
000504.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,14,754,0
000505.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,6,0,0
000506.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,95,263,0
000507.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,3,0,0
000509.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,80,545,0
000510.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,10,0,0
000511.SZ,SZ,True,True,,132,2018-01-02,2018-07-18,132,2018-01-02,2018-07-18,132,102,101,0
000513.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,0,0,0
000514.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,0,0,0
000516.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,70,58,0
000517.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,0,0,0
000518.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,2,253,0
000519.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,0,0,0
000520.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,0,0,0
000521.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,2,0,0
000523.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,60,256,0
000524.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,10,0,0
000525.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,28,995,0
000526.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,146,92,0
000528.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,21,0,0
000529.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,0,0,0
000530.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,0,0,0
000531.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,0,0,0
000532.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,0,0,0
000533.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,39,0,0
000534.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,106,0,0
000536.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,2,248,0
000537.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,0,0,0
000538.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,51,0,0
000539.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,0,0,0
000540.SZ,SZ,True,True,,1333,2018-01-02,2023-06-30,1333,2018-01-02,2023-06-30,1333,273,38,0
000541.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,0,0,0
000543.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,11,0,0
000544.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,0,0,0
000545.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,115,0,0
000546.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,6,81,0
000547.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,58,0,0
000548.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,0,0,0
000550.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,0,0,0
000551.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,0,0,0
000552.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,21,0,0
000553.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,0,0,0
000554.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,0,0,0
000555.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,5,0,0
000557.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,14,0,0
000558.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,15,0,0
000559.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,10,0,0
000560.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,0,0,0
000561.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,10,0,0
000563.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,6,0,0
000564.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,143,795,0
000565.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,0,0,0
000566.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,126,0,0
000567.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,0,0,0
000568.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,0,0,0
000570.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,0,0,0
000571.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,4,1019,0
000572.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,3,507,0
000573.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,0,0,0
000576.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,11,0,0
000581.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,0,0,0
000582.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,0,0,0
000584.SZ,SZ,True,True,,1824,2018-01-02,2025-07-10,1824,2018-01-02,2025-07-10,1824,124,515,0
000585.SZ,SZ,True,True,,1064,2018-01-02,2022-05-24,1064,2018-01-02,2022-05-24,1064,32,989,0
000586.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,18,0,0
000587.SZ,SZ,True,True,,1275,2018-01-02,2023-04-03,1275,2018-01-02,2023-04-03,1275,58,707,0
000589.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,0,0,0
000590.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,24,0,0
000591.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,0,0,0
000592.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,22,0,0
000593.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,62,0,0
000595.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,21,667,0
000596.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,0,0,0
000597.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,12,0,0
000598.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,0,0,0
000599.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,8,0,0
000600.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,2,0,0
000601.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,12,0,0
000603.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,66,0,0
000605.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,0,0,0
000606.SZ,SZ,True,True,,1337,2018-01-02,2023-07-06,1337,2018-01-02,2023-07-06,1337,90,512,0
000607.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,0,0,0
000608.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,12,260,0
000609.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,8,827,0
000610.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,1,96,0
000611.SZ,SZ,True,True,,1088,2018-01-02,2022-06-28,1088,2018-01-02,2022-06-28,1088,87,750,0
000612.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,15,0,0
000613.SZ,SZ,True,True,,1089,2018-01-02,2022-06-29,1089,2018-01-02,2022-06-29,1089,42,315,0
000615.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,21,817,0
000616.SZ,SZ,True,True,,1371,2018-01-02,2023-08-23,1371,2018-01-02,2023-08-23,1371,171,561,0
000617.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,0,0,0
000619.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,0,0,0
000620.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,3,252,0
000622.SZ,SZ,True,True,,1827,2018-01-02,2025-07-15,1827,2018-01-02,2025-07-15,1827,39,277,0
000623.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,0,0,0
000625.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,0,0,0
000626.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,0,0,0
000627.SZ,SZ,True,True,,1881,2018-01-02,2025-09-29,1881,2018-01-02,2025-09-29,1881,89,60,0
000628.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,10,0,0
000629.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,158,158,0
000630.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,10,0,0
000631.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,0,0,0
000632.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,1,93,0
000633.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,15,0,0
000635.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,2,0,0
000636.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,0,0,0
000637.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,2,267,0
000638.SZ,SZ,True,True,,2039,2018-01-02,2026-06-02,2039,2018-01-02,2026-06-02,2039,53,583,0
000639.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,1,93,0
000650.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,0,0,0
000651.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,6,0,0
000652.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,0,0,0
000655.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,2,240,0
000656.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,13,529,0
000657.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,10,0,0
000659.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,3,74,0
000661.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,9,0,0
000662.SZ,SZ,True,True,,795,2018-01-02,2021-04-12,795,2018-01-02,2021-04-12,795,38,160,0
000663.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,22,340,0
000665.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,0,0,0
000666.SZ,SZ,True,True,,1411,2018-01-02,2023-10-26,1411,2018-01-02,2023-10-26,1411,200,0,0
000667.SZ,SZ,True,True,,1343,2018-01-02,2023-07-14,1343,2018-01-02,2023-07-14,1343,35,49,0
000668.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,12,263,0
000669.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,57,1545,0
000670.SZ,SZ,True,True,,2111,2018-01-02,2026-09-11,2111,2018-01-02,2026-09-11,2111,612,828,0
