core,stable,trend,annualized_return,max_drawdown,sharpe
0.45,0.35000000000000003,0.2,0.10036299619427824,-0.21209539096622498,0.6750432612270983
0.45,0.4,0.15,0.09987916573968314,-0.21041260608803203,0.67446332521443
0.45,0.45,0.1,0.09937720027534502,-0.20872998177812718,0.6734701472642903
0.45,0.5,0.05,0.09885713145882447,-0.2070475331826187,0.6720564556809837
0.45,0.55,0.0,0.09831899177738879,-0.20536527547527672,0.6702171686163622
0.5,0.0,0.5,0.10505401356598143,-0.22491043798409704,0.6769748401083073
0.5,0.05,0.45,0.10469232352537694,-0.22322854505144407,0.6788787087984886
0.5,0.1,0.4,0.10431227506704555,-0.22154670504093643,0.6804610929950095
0.5,0.15000000000000002,0.35,0.10391389424025488,-0.2198649328811666,0.681704757860101
0.5,0.2,0.3,0.1034972079439449,-0.2181832435296951,0.6825933648785272
0.5,0.25,0.25,0.1030622439241431,-0.21650165197286808,0.6831116854160141
0.5,0.30000000000000004,0.2,0.1026090307713392,-0.2148201732256263,0.6832458135684099
0.5,0.35000000000000003,0.15,0.10213759791777988,-0.2131388223313323,0.6829833735792415
0.5,0.4,0.1,0.10164797563471728,-0.21145761436157595,0.6823137168227541
0.5,0.45,0.05,0.1011401950295916,-0.20977656441599002,0.6812281032381517
0.5,0.5,0.0,0.10061428804315109,-0.20809568762206687,0.6797198621825793
0.55,0.0,0.45,0.10684516917721587,-0.22594760715971318,0.6848469555590928
0.55,0.05,0.4,0.10647785092601136,-0.224267320375231,0.686682051399678
0.55,0.1,0.35,0.10609214941156209,-0.22258708410452055,0.6881905500761598
0.55,0.15000000000000002,0.3,0.10568809096113241,-0.22090691325747203,0.68935558749982
0.55,0.2,0.25,0.10526570275245772,-0.21922682277294037,0.6901612518668602
0.55,0.25,0.2,0.10482501281114565,-0.2175468276185618,0.6905927935039651
0.55,0.30000000000000004,0.15,0.1043660500080128,-0.2158669427905734,0.6906368325770799
0.55,0.35000000000000003,0.1,0.10388884405637855,-0.21418718331362685,0.6902815599810751
0.55,0.4,0.05,0.10339342550927766,-0.21250756424060202,0.6895169265067916
0.55,0.45,-0.0,0.1028798257566268,-0.2108281006524244,0.6883348153310279
0.6000000000000001,0.0,0.4,0.10861288856369522,-0.22698960131184476,0.6921348784348104
0.6000000000000001,0.05,0.35,0.10823993501514861,-0.22531093259509427,0.6938901602185841
0.6000000000000001,0.1,0.3,0.10784857378817536,-0.2236323119892304,0.6953144859488618
0.6000000000000001,0.15000000000000002,0.25,0.10743883148813627,-0.22195375438534626,0.6963914423005194
0.6000000000000001,0.2,0.2,0.1070107355716412,-0.22027527470349806,0.6971056203124055
0.6000000000000001,0.25,0.15,0.10656431434392477,-0.21859688789252496,0.6974428201353645
0.6000000000000001,0.30000000000000004,0.1,0.10609959695617399,-0.21691860892986203,0.6973902522418334
0.6000000000000001,0.35000000000000003,0.05,0.1056166134027845,-0.21524045282136295,0.6969367304990396
0.6000000000000001,0.4,-0.0,0.10511539451856633,-0.2135624346011038,0.6960728523467862
0.65,0.0,0.35,0.11035704938044066,-0.22803639949292887,0.698835309708823
0.65,0.05,0.3,0.1099784537991848,-0.22635936073066065,0.7005006549827825
0.65,0.1,0.25,0.10958142655648695,-0.2246823676819215,0.7018314773657612
0.65,0.15000000000000002,0.2,0.10916599453588405,-0.22300543521891691,0.7028118873348509
0.65,0.2,0.15,0.10873218547292085,-0.22132857824281693,0.7034270470363209
