日期,总资产,现金,证券,数量,持仓,收盘价, 收益
,,,联明股份(603006.SH),70100,762688.00,10.88,-212042.33
,,,中国国贸(600007.SH),6900,130203.00,18.87,-8923.97
,,,华旺科技(605377.SH),26000,212160.00,8.16,-32281.07
,,,东宏股份(603856.SH),25600,291840.00,11.4,-58403.92
2026-08-26,31640595.76,7466.76,,,,,
,,,四川成渝(601107.SH),66400,393088.00,5.92,30220.86
,,,亚翔集成(603929.SH),7400,1198652.00,161.98,100932.38
,,,方盛制药(603998.SH),17400,176958.00,10.17,19474.53
,,,金富科技(003018.SZ),29300,1291251.00,44.07,322126.55
,,,宁波高发(603788.SH),32000,440320.00,13.76,-61948.02
,,,行动教育(605098.SH),10500,588210.00,56.02,12771.82
,,,建研院(603183.SH),19500,92235.00,4.73,6760.12
,,,中材科技(002080.SZ),21800,1088692.00,49.94,153505.45
,,,江南水务(601199.SH),31900,198737.00,6.23,21604.42
,,,恒盛能源(605580.SH),26300,460250.00,17.5,21083.97
,,,建业股份(603948.SH),9500,192660.00,20.28,-35864.54
,,,四方股份(601126.SH),29500,1290330.00,43.74,151967.09
,,,物产环能(603071.SH),500,6370.00,12.74,832.29
,,,圣晖集成(603163.SH),13600,1076848.00,79.18,84490.22
,,,柳药集团(603368.SH),5300,84270.00,15.9,5968.27
,,,南京医药(600713.SH),28800,151488.00,5.26,7156.71
,,,宏昌电子(603002.SH),89100,1369467.00,15.37,288876.70
,,,联德股份(605060.SH),21400,908430.00,42.45,136257.62
,,,海星股份(603115.SH),14000,1038520.00,74.18,86154.02
,,,热威股份(603075.SH),39900,772863.00,19.37,-342508.13
,,,永兴股份(601033.SH),33200,476088.00,14.34,6780.12
,,,凤凰传媒(601928.SH),17200,148092.00,8.61,2938.38
,,,长城科技(603897.SH),39300,1173891.00,29.87,204099.02
,,,渤海轮渡(603167.SH),186000,1523340.00,8.19,-157355.79
,,,东宏股份(603856.SH),25600,292096.00,11.41,-58147.92
,,,环旭电子(601231.SH),64100,1711470.00,26.7,326294.58
,,,联明股份(603006.SH),70100,798439.00,11.39,-176291.33
,,,富安娜(002327.SZ),42900,272844.00,6.36,-16269.85
,,,舒华体育(605299.SH),70500,907335.00,12.87,94719.79
,,,明阳智能(601615.SH),179900,1968106.00,10.94,-49606.29
,,,中国国贸(600007.SH),6900,130686.00,18.94,-8440.97
,,,奥海科技(002993.SZ),27400,1039556.00,37.94,95376.81
,,,华旺科技(605377.SH),26000,224380.00,8.63,-20061.07
,,,咸亨国际(605056.SH),38700,546444.00,14.12,23567.83
,,,中天科技(600522.SH),38700,1292967.00,33.41,201055.71
,,,轻纺城(600790.SH),4300,14749.00,3.43,-2879.65
,,,中创物流(603967.SH),57300,676713.00,11.81,-96758.95
,,,江河集团(601886.SH),119900,1556302.00,12.98,538359.31
,,,通达股份(002560.SZ),151300,928982.00,6.14,-3653.70
,,,圣泉集团(605589.SH),34200,1288998.00,37.69,131064.17
,,,镇洋发展(603213.SH),14600,204254.00,13.99,-11591.43
,,,三人行(605168.SH),35900,1637758.00,45.62,336627.49
2026-08-25,31956838.76,7466.76,,,,,
,,,镇洋发展(603213.SH),14600,204254.00,13.99,-11591.43
,,,恒盛能源(605580.SH),26300,458935.00,17.45,19768.97
,,,三人行(605168.SH),35900,1682633.00,46.87,381502.49
,,,凤凰传媒(601928.SH),17200,151532.00,8.81,6378.38
,,,建研院(603183.SH),19500,91845.00,4.71,6370.12
,,,长城科技(603897.SH),39300,1220265.00,31.05,250473.02
,,,咸亨国际(605056.SH),38700,545670.00,14.1,22793.83
,,,物产环能(603071.SH),500,6335.00,12.67,797.29
,,,联德股份(605060.SH),21400,906932.00,42.38,134759.62
,,,华旺科技(605377.SH),26000,230100.00,8.85,-14341.07
,,,金富科技(003018.SZ),29300,1347214.00,45.98,378089.55
,,,行动教育(605098.SH),10500,596925.00,56.85,21486.82
,,,热威股份(603075.SH),39900,768873.00,19.27,-346498.13
,,,中材科技(002080.SZ),21800,1068200.00,49,133013.45
,,,圣晖集成(603163.SH),13600,1081744.00,79.54,89386.22
,,,轻纺城(600790.SH),4300,14534.00,3.38,-3094.65
,,,宁波高发(603788.SH),32000,449280.00,14.04,-52988.02
,,,中创物流(603967.SH),57300,678432.00,11.84,-95039.95
,,,明阳智能(601615.SH),179900,1946518.00,10.82,-71194.29
,,,海星股份(603115.SH),14000,1066800.00,76.2,114434.02
,,,永兴股份(601033.SH),33200,470444.00,14.17,1136.12
,,,圣泉集团(605589.SH),34200,1276002.00,37.31,118068.17
,,,渤海轮渡(603167.SH),186000,1627500.00,8.75,-53195.79
,,,奥海科技(002993.SZ),27400,1037638.00,37.87,93458.81
,,,联明股份(603006.SH),70100,808954.00,11.54,-165776.33
,,,中天科技(600522.SH),38700,1311543.00,33.89,219631.71
,,,舒华体育(605299.SH),70500,906630.00,12.86,94014.79
,,,环旭电子(601231.SH),64100,1695445.00,26.45,310269.58
,,,方盛制药(603998.SH),17400,175740.00,10.1,18256.53
,,,东宏股份(603856.SH),25600,291584.00,11.39,-58659.92
,,,四方股份(601126.SH),29500,1303605.00,44.19,165242.09
,,,富安娜(002327.SZ),42900,287001.00,6.69,-2112.85
,,,四川成渝(601107.SH),66400,383792.00,5.78,20924.86
,,,亚翔集成(603929.SH),7400,1190734.00,160.91,93014.38
,,,南京医药(600713.SH),28800,151200.00,5.25,6868.71
,,,柳药集团(603368.SH),5300,84111.00,15.87,5809.27
,,,宏昌电子(603002.SH),89100,1382832.00,15.52,302241.70
,,,通达股份(002560.SZ),151300,919904.00,6.08,-12731.70
,,,江南水务(601199.SH),31900,200651.00,6.29,23518.42
,,,建业股份(603948.SH),9500,194465.00,20.47,-34059.54
,,,江河集团(601886.SH),119900,1603063.00,13.37,585120.31
,,,中国国贸(600007.SH),6900,129513.00,18.77,-9613.97
2026-08-24,31547619.76,7466.76,,,,,
,,,环旭电子(601231.SH),64100,1660190.00,25.9,275014.58
,,,宁波高发(603788.SH),32000,442880.00,13.84,-59388.02
,,,恒盛能源(605580.SH),26300,456305.00,17.35,17138.97
,,,建业股份(603948.SH),9500,193040.00,20.32,-35484.54
,,,行动教育(605098.SH),10500,583590.00,55.58,8151.82
,,,永兴股份(601033.SH),33200,474428.00,14.29,5120.12
,,,宏昌电子(603002.SH),89100,1395306.00,15.66,314715.70
,,,海星股份(603115.SH),14000,1051820.00,75.13,99454.02
,,,物产环能(603071.SH),500,6310.00,12.62,772.29
,,,镇洋发展(603213.SH),14600,202794.00,13.89,-13051.43
,,,圣泉集团(605589.SH),34200,1283184.00,37.52,125250.17
,,,四方股份(601126.SH),29500,1302130.00,44.14,163767.09
,,,中国国贸(600007.SH),6900,131100.00,19,-8026.97
,,,富安娜(002327.SZ),42900,287001.00,6.69,-2112.85
,,,江河集团(601886.SH),119900,1586277.00,13.23,568334.31
,,,长城科技(603897.SH),39300,1186860.00,30.2,217068.02
,,,联明股份(603006.SH),70100,778811.00,11.11,-195919.33
,,,方盛制药(603998.SH),17400,168780.00,9.7,11296.53
,,,南京医药(600713.SH),28800,148608.00,5.16,4276.71
,,,热威股份(603075.SH),39900,759696.00,19.04,-355675.13
,,,建研院(603183.SH),19500,90870.00,4.66,5395.12
,,,亚翔集成(603929.SH),7400,1227068.00,165.82,129348.38
,,,江南水务(601199.SH),31900,203841.00,6.39,26708.42
,,,东宏股份(603856.SH),25600,292096.00,11.41,-58147.92
,,,联德股份(605060.SH),21400,902866.00,42.19,130693.62
,,,明阳智能(601615.SH),179900,1906940.00,10.6,-110772.29
,,,轻纺城(600790.SH),4300,14362.00,3.34,-3266.65
,,,奥海科技(002993.SZ),27400,1021746.00,37.29,77566.81
,,,四川成渝(601107.SH),66400,369848.00,5.57,6980.86
,,,通达股份(002560.SZ),151300,898722.00,5.94,-33913.70
,,,柳药集团(603368.SH),5300,83422.00,15.74,5120.27
,,,三人行(605168.SH),35900,1705250.00,47.5,404119.49
,,,渤海轮渡(603167.SH),186000,1631220.00,8.77,-49475.79
,,,中材科技(002080.SZ),21800,1077574.00,49.43,142387.45
,,,咸亨国际(605056.SH),38700,531738.00,13.74,8861.83
,,,舒华体育(605299.SH),70500,879840.00,12.48,67224.79
,,,金富科技(003018.SZ),29300,1224740.00,41.8,255615.55
,,,凤凰传媒(601928.SH),17200,151532.00,8.81,6378.38
,,,圣晖集成(603163.SH),13600,1089360.00,80.1,97002.22
,,,中创物流(603967.SH),57300,646917.00,11.29,-126554.95
,,,华旺科技(605377.SH),26000,232180.00,8.93,-12261.07
,,,中天科技(600522.SH),38700,1258911.00,32.53,166999.71
2026-08-21,32205944.76,7466.76,,,,,
,,,四方股份(601126.SH),29500,1340775.00,45.45,202412.09
,,,咸亨国际(605056.SH),38700,549153.00,14.19,26276.83
,,,三人行(605168.SH),35900,1686223.00,46.97,385092.49
,,,建业股份(603948.SH),9500,195225.00,20.55,-33299.54
,,,四川成渝(601107.SH),66400,365200.00,5.5,2332.86
,,,东宏股份(603856.SH),25600,296192.00,11.57,-54051.92
,,,中天科技(600522.SH),38700,1293741.00,33.43,201829.71
,,,奥海科技(002993.SZ),27400,1051612.00,38.38,107432.81
,,,舒华体育(605299.SH),70500,881250.00,12.5,68634.79
,,,中创物流(603967.SH),57300,670983.00,11.71,-102488.95
,,,圣晖集成(603163.SH),13600,1119144.00,82.29,126786.22
,,,宏昌电子(603002.SH),89100,1471932.00,16.52,391341.70
,,,行动教育(605098.SH),10500,577500.00,55,2061.82
,,,圣泉集团(605589.SH),34200,1330380.00,38.9,172446.17
,,,中国国贸(600007.SH),6900,128340.00,18.6,-10786.97
,,,中材科技(002080.SZ),21800,1175238.00,53.91,240051.45
,,,江河集团(601886.SH),119900,1569491.00,13.09,551548.31
,,,渤海轮渡(603167.SH),186000,1614480.00,8.68,-66215.79
,,,物产环能(603071.SH),500,6230.00,12.46,692.29
,,,长城科技(603897.SH),39300,1204938.00,30.66,235146.02
,,,凤凰传媒(601928.SH),17200,151188.00,8.79,6034.38
,,,亚翔集成(603929.SH),7400,1235726.00,166.99,138006.38
,,,环旭电子(601231.SH),64100,1744802.00,27.22,359626.58
,,,联德股份(605060.SH),21400,914422.00,42.73,142249.62
,,,海星股份(603115.SH),14000,1097180.00,78.37,144814.02
,,,金富科技(003018.SZ),29300,1260486.00,43.02,291361.55
,,,建研院(603183.SH),19500,93015.00,4.77,7540.12
,,,柳药集团(603368.SH),5300,84164.00,15.88,5862.27
,,,华旺科技(605377.SH),26000,230620.00,8.87,-13821.07
,,,富安娜(002327.SZ),42900,280995.00,6.55,-8118.85
,,,轻纺城(600790.SH),4300,14319.00,3.33,-3309.65
,,,联明股份(603006.SH),70100,797037.00,11.37,-177693.33
,,,江南水务(601199.SH),31900,206074.00,6.46,28941.42
,,,热威股份(603075.SH),39900,768075.00,19.25,-347296.13
,,,恒盛能源(605580.SH),26300,467877.00,17.79,28710.97
,,,南京医药(600713.SH),28800,149760.00,5.2,5428.71
,,,明阳智能(601615.SH),179900,1969905.00,10.95,-47807.29
