rank,variant,name_cn,design_2020_2024_cagr,design_2020_2024_total_return,design_2020_2024_max_drawdown,design_2020_2024_sharpe,design_2020_2024_volatility,design_2020_2024_final_equity,recent_2025_202607_cagr,recent_2025_202607_total_return,recent_2025_202607_max_drawdown,recent_2025_202607_sharpe,recent_2025_202607_volatility,recent_2025_202607_final_equity,full_2020_202607_cagr,full_2020_202607_total_return,full_2020_202607_max_drawdown,full_2020_202607_sharpe,full_2020_202607_volatility,full_2020_202607_final_equity,eligible_mdd_10_50,robust_sharpe,ranking_score
25,dd_80_12_22,进攻80%核心+回撤12%/22%降仓,0.6411467101498385,10.885042269178754,-0.23370494720080093,2.1146106150644326,0.25926152554458864,11885042.269178754,0.4343231012762656,0.7644272396565535,-0.2192594995888847,1.7557601435648702,0.2282784544882559,1764427.2396565534,0.5884158510783193,19.970292324208557,-0.23370494720080093,2.03416245446147,0.25214533798432615,20970292.324208558,True,1.7557601435648702,1.7557601435648702
26,fixed_40_60,固定日配比 进攻40%/防守60%,0.5472796454340156,7.855137274314684,-0.1866799977759388,2.226183590378912,0.21389181733489748,8855137.274314685,0.3078373545719515,0.5257605328565846,-0.14064938242500669,1.750556785406196,0.1672595198509916,1525760.5328565845,0.48570416358460156,12.51081896617658,-0.1866799977759388,2.121826629102609,0.2037014840739434,13510818.966176579,True,1.750556785406196,1.750556785406196
27,baseline3_1,基准3-1强势延持,0.7949001038221106,17.592252459604385,-0.35279740810119586,2.059888900308113,0.3196864206354187,18592252.459604386,0.5329092245068139,0.9590787180401676,-0.2511695607222294,1.747464407713815,0.2757199536904882,1959078.7180401676,0.7275286439731601,35.42368611404096,-0.35279740810119586,1.9897519077214896,0.3096721448654498,36423686.11404096,True,1.747464407713815,1.747464407713815
28,dd_65_12_22,进攻65%核心+回撤12%/22%降仓,0.6062677561117642,9.675428939416726,-0.21574060114470794,2.1563125962427954,0.24181219732300566,10675428.939416725,0.3753030161852333,0.6514888262022989,-0.19520701745878488,1.735719805714322,0.20256805565879663,1651488.826202299,0.5470609322683226,16.63035160836339,-0.21574060114470794,2.0632495120837144,0.23299423224862392,17630351.60836339,True,1.735719805714322,1.735719805714322
29,dd_50_8_15,进攻50%核心+回撤8%/15%降仓,0.5206909746046768,7.1204826103795416,-0.17517669417006032,2.1973058545993953,0.20800024151927896,8120482.610379541,0.3098605143618358,0.529477881233231,-0.17112297512301777,1.7312150313995918,0.17035592846246517,1529477.881233231,0.4668088112771043,11.420098537514606,-0.17517669417006032,2.094890674911377,0.19962326963920277,12420098.537514606,True,1.7312150313995918,1.7312150313995918
30,dd_50_10_18,进攻50%核心+回撤10%/18%降仓,0.5471502193592295,7.851436877342598,-0.18651176397450886,2.1868611964887092,0.21812303240995237,8851436.877342599,0.31950888571360236,0.54725111236431,-0.17110902448542864,1.7194682146921787,0.17659085430087507,1547251.11236431,0.48877278162562976,12.695395554490823,-0.18651176397450886,2.0843047799811343,0.20892276443832902,13695395.554490823,True,1.7194682146921787,1.7194682146921787
31,invvol_90,90日逆波动月配,0.509571170837684,6.828091137663102,-0.17919242234536148,2.186636735160922,0.20518525998393047,7828091.137663102,0.27782144619952076,0.47099833678029857,-0.12143114066748673,1.71834462796272,0.15521865785787498,1470998.3367802985,0.4500308798480446,10.515109043667016,-0.17919242234536148,2.083651020608467,0.19440030443421488,11515109.043667015,True,1.71834462796272,1.71834462796272
32,fixed_30_70,固定日配比 进攻30%/防守70%,0.5069053071717866,6.759260741938845,-0.1743001824689776,2.2216305563151497,0.20073194886328263,7759260.741938845,0.27183332030334584,0.46016092938092545,-0.12128519535587012,1.7110638911912368,0.15281136644320636,1460160.9293809254,0.44645751097225617,10.329769376258367,-0.1743001824689776,2.110322245845125,0.1903696513887006,11329769.376258368,True,1.7110638911912368,1.7110638911912368
33,dd_65_10_18,进攻65%核心+回撤10%/18%降仓,0.5788183653676109,8.794496000518611,-0.20744020179192035,2.1516431505613163,0.23310746923048725,9794496.00051861,0.35214808596492553,0.6079287429065319,-0.20876233562172541,1.671681364459457,0.19938984840546226,1607928.7429065318,0.520738719186238,14.748851641516977,-0.20876233562172486,2.0456796093273346,0.22547212419525467,15748851.641516976,True,1.671681364459457,1.671681364459457
34,fixed_20_80,固定日配比 进攻20%/防守80%,0.46686770942262434,5.78242968729027,-0.16192562558496937,2.1924727152241155,0.1896463025156724,6782429.68729027,0.23630559364327341,0.3964661176979265,-0.11543471924274162,1.6403382233489332,0.1403325910504208,1396466.1176979265,0.4075846951063762,8.471433253969407,-0.16192562558496937,2.0732495716124406,0.17909817059073446,9471433.253969407,True,1.6403382233489332,1.6403382233489332
35,invvol_60,60日逆波动月配,0.5027029952977706,6.651744235340973,-0.18256732377968032,2.19172581895265,0.20228120574877015,7651744.235340973,0.2490025008069363,0.4191103221233017,-0.12617688588728126,1.5909747478942184,0.1524827527123062,1419110.3221233017,0.4371463660948114,9.858669226619853,-0.18256732377968032,2.06323225717604,0.1915614544794365,10858669.226619853,True,1.5909747478942184,1.5909747478942184
36,invvol_20,20日逆波动月配,0.5008318872743212,6.604256857450206,-0.19414913381206678,2.2058425543849056,0.20020953881333586,7604256.857450206,0.24457307335880563,0.41119560526307497,-0.13706091744736126,1.5824962022901679,0.15081134741662197,1411195.6052630749,0.43456599569921384,9.731093858525325,-0.19414913381206678,2.0729222028829524,0.18958196648818693,10731093.858525325,True,1.5824962022901679,1.5824962022901679
