name,symbol,market,industry,ipo_date,region,connect
海泰新光,688677.SH,科创板,医疗保健,2021-02-26,山东,沪股通
福立旺,688678.SH,科创板,元器件,2020-12-23,江苏,沪股通
通源环境,688679.SH,科创板,环境保护,2020-12-25,安徽,沪股通
海优新材,688680.SH,科创板,塑料,2021-01-22,上海,N
科汇股份,688681.SH,科创板,电气设备,2021-06-16,山东,N
霍莱沃,688682.SH,科创板,软件服务,2021-04-20,上海,沪股通
莱尔科技,688683.SH,科创板,元器件,2021-04-12,广东,沪股通
迈信林,688685.SH,科创板,航空,2021-05-13,江苏,沪股通
奥普特,688686.SH,科创板,电器仪表,2020-12-31,广东,沪股通
凯因科技,688687.SH,科创板,生物制药,2021-02-08,北京,N
银河微电,688689.SH,科创板,半导体,2021-01-27,江苏,N
纳微科技,688690.SH,科创板,化工原料,2021-06-23,江苏,沪股通
灿芯股份,688691.SH,科创板,半导体,2024-04-11,上海,沪股通
达梦数据,688692.SH,科创板,软件服务,2024-06-12,湖北,沪股通
锴威特,688693.SH,科创板,半导体,2023-08-18,江苏,N
中创股份,688695.SH,科创板,软件服务,2024-03-13,山东,N
极米科技,688696.SH,科创板,家用电器,2021-03-03,四川,沪股通
纽威数控,688697.SH,科创板,机床制造,2021-09-17,江苏,沪股通
伟创电气,688698.SH,科创板,电气设备,2020-12-29,江苏,沪股通
明微电子,688699.SH,科创板,半导体,2020-12-18,深圳,沪股通
东威科技,688700.SH,科创板,专用机械,2021-06-15,江苏,沪股通
卓锦股份,688701.SH,科创板,环境保护,2021-09-16,浙江,N
盛科通信,688702.SH,科创板,半导体,2023-09-14,江苏,沪股通
振华新材,688707.SH,科创板,电气设备,2021-09-14,贵州,沪股通
佳驰科技,688708.SH,科创板,化工原料,2024-12-05,四川,沪股通
成都华微,688709.SH,科创板,半导体,2024-02-07,四川,沪股通
益诺思,688710.SH,科创板,生物制药,2024-09-03,上海,沪股通
宏微科技,688711.SH,科创板,半导体,2021-09-01,江苏,沪股通
北芯生命,688712.SH,科创板,医疗保健,2026-02-05,深圳,N
中研股份,688716.SH,科创板,化工原料,2023-09-20,吉林,N
艾罗能源,688717.SH,科创板,电气设备,2024-01-03,浙江,沪股通
唯赛勃,688718.SH,科创板,塑料,2021-07-28,上海,N
爱科赛博,688719.SH,科创板,电气设备,2023-09-28,陕西,沪股通
艾森股份,688720.SH,科创板,半导体,2023-12-06,江苏,沪股通
龙图光罩,688721.SH,科创板,半导体,2024-08-06,深圳,沪股通
同益中,688722.SH,科创板,化纤,2021-10-19,北京,N
拉普拉斯,688726.SH,科创板,专用机械,2024-10-29,深圳,沪股通
恒坤新材,688727.SH,科创板,半导体,2025-11-18,福建,N
格科微,688728.SH,科创板,半导体,2021-08-18,上海,沪股通
屹唐股份,688729.SH,科创板,半导体,2025-07-08,北京,沪股通
壹石通,688733.SH,科创板,矿物制品,2021-08-17,安徽,沪股通
中自科技,688737.SH,科创板,汽车配件,2021-10-22,四川,N
成大生物,688739.SH,科创板,生物制药,2021-10-28,辽宁,沪股通
金天钛业,688750.SH,科创板,小金属,2024-11-20,湖南,沪股通
汉邦科技,688755.SH,科创板,专用机械,2025-05-16,江苏,N
胜科纳米,688757.SH,科创板,电器仪表,2025-03-25,江苏,沪股通
赛分科技,688758.SH,科创板,化工原料,2025-01-10,江苏,沪股通
必贝特,688759.SH,科创板,生物制药,2025-10-28,广东,N
禾元生物,688765.SH,科创板,生物制药,2025-10-28,湖北,N
普冉股份,688766.SH,科创板,半导体,2021-08-23,上海,沪股通
博拓生物,688767.SH,科创板,医疗保健,2021-09-08,浙江,沪股通
容知日新,688768.SH,科创板,电器仪表,2021-07-26,安徽,N
珠海冠宇,688772.SH,科创板,电气设备,2021-10-15,广东,沪股通
影石创新,688775.SH,科创板,IT设备,2025-06-11,深圳,沪股通
国光电气,688776.SH,科创板,元器件,2021-08-31,四川,沪股通
中控技术,688777.SH,科创板,专用机械,2020-11-24,浙江,沪股通
厦钨新能,688778.SH,科创板,电气设备,2021-08-05,福建,沪股通
五矿新能,688779.SH,科创板,电气设备,2021-08-11,湖南,沪股通
视涯科技,688781.SH,科创板,元器件,2026-03-25,安徽,N
西安奕材,688783.SH,科创板,半导体,2025-10-28,陕西,N
恒运昌,688785.SH,科创板,半导体,2026-01-28,深圳,N
悦安新材,688786.SH,科创板,小金属,2021-08-26,江西,N
海天瑞声,688787.SH,科创板,软件服务,2021-08-13,北京,沪股通
科思科技,688788.SH,科创板,通信设备,2020-10-22,深圳,沪股通
宏华数科,688789.SH,科创板,专用机械,2021-07-08,浙江,沪股通
昂瑞微,688790.SH,科创板,半导体,2025-12-16,北京,N
倍轻松,688793.SH,科创板,家用电器,2021-07-15,深圳,N
摩尔线程,688795.SH,科创板,半导体,2025-12-05,北京,N
百奥赛图,688796.SH,科创板,生物制药,2025-12-10,北京,沪股通
臻宝科技,688797.SH,科创板,半导体,2026-06-24,重庆,N
艾为电子,688798.SH,科创板,半导体,2021-08-16,上海,沪股通
华纳药厂,688799.SH,科创板,化学制药,2021-07-13,湖南,沪股通
瑞可达,688800.SH,科创板,元器件,2021-07-22,江苏,沪股通
沐曦股份,688802.SH,科创板,半导体,2025-12-17,上海,N
健信超导,688805.SH,科创板,医疗保健,2025-12-24,浙江,N
泰诺麦博,688806.SH,科创板,生物制药,2026-07-21,广东,N
优迅股份,688807.SH,科创板,半导体,2025-12-19,福建,N
联讯仪器,688808.SH,科创板,电器仪表,2026-04-24,江苏,N
强一股份,688809.SH,科创板,半导体,2025-12-30,江苏,N
有研复材,688811.SH,科创板,小金属,2026-04-10,北京,N
泰金新能,688813.SH,科创板,专用机械,2026-03-31,陕西,N
易思维,688816.SH,科创板,专用机械,2026-02-11,浙江,N
电科蓝天,688818.SH,科创板,航空,2026-02-10,天津,N
天能股份,688819.SH,科创板,电气设备,2021-01-18,浙江,沪股通
盛合晶微,688820.SH,科创板,半导体,2026-04-21,江苏,N
长鑫科技,688825.SH,科创板,半导体,2026-07-27,安徽,N
C频准,688826.SH,科创板,元器件,2026-08-18,上海,N
国仪公司,688828.SH,科创板,电器仪表,2026-08-11,安徽,N
C宇树,688836.SH,科创板,专用机械,2026-08-19,浙江,N
中芯国际,688981.SH,科创板,半导体,2020-07-16,上海,沪股通
