name,selection_score,eligible_dd35,dev_annual,dev_dd,dev_sharpe,val_annual,val_dd,val_sharpe,holdout_annual,holdout_dd,holdout_sharpe,full_annual,full_dd,full_sharpe,final_equity,avg_holdings,parameters
bull_amount_275,0.3233713455707747,True,0.27595024455154515,-0.33548838486762245,1.185974260145953,0.33997931050424324,-0.21215399565256632,1.040225959577911,0.1895888671600876,-0.15205319805350814,1.035706032689103,0.25702261803614346,-0.33548838486762245,1.0773737712909794,46209913.989412375,20.258004926108374,"{""bull"": [0.275, 0.2, 0.525], ""bear"": [0.5, 0.25, 0.25], ""ma"": 120, ""count"": 20, ""buffer"": 40, ""exposure"": 1.0, ""cap"": 1.5, ""name"": ""bull_amount_275""}"
buffer45,0.32330690368071663,True,0.26888885621749536,-0.33544001135544144,1.161707185551288,0.3468789853534344,-0.20312847746152574,1.0644517640212101,0.18181302471321636,-0.1587576709753521,0.987626367378147,0.251526494006304,-0.33544001135544144,1.0606128356481823,44874673.86705598,20.25,"{""bull"": [0.25, 0.2, 0.55], ""bear"": [0.5, 0.25, 0.25], ""ma"": 120, ""count"": 20, ""buffer"": 45, ""exposure"": 1.0, ""cap"": 1.5, ""name"": ""buffer45""}"
bull_amount_225,0.32308126361716305,True,0.2836728647568436,-0.3353687613962726,1.2078828600540645,0.33146286042191586,-0.20846762440929756,1.0235145412642324,0.18691101551289235,-0.1623009751900083,1.007046653925208,0.2593020309789389,-0.3353687613962726,1.0815857849738095,46773509.659814954,20.313423645320196,"{""bull"": [0.225, 0.2, 0.575], ""bear"": [0.5, 0.25, 0.25], ""ma"": 120, ""count"": 20, ""buffer"": 40, ""exposure"": 1.0, ""cap"": 1.5, ""name"": ""bull_amount_225""}"
exposure97,0.3223618178900083,True,0.2774106576903175,-0.3313702194287188,1.2069607987094542,0.3331143190396253,-0.19876086973792728,1.0393517072976237,0.17804085795847624,-0.15800360731211827,0.9909145996371534,0.2544938602854594,-0.3313702194287188,1.083771357273438,45591435.19772783,20.211206896551722,"{""bull"": [0.25, 0.2, 0.55], ""bear"": [0.5, 0.25, 0.25], ""ma"": 120, ""count"": 20, ""buffer"": 40, ""exposure"": 0.97, ""cap"": 1.5, ""name"": ""exposure97""}"
count18,0.31869426293675646,True,0.2574867691571394,-0.3340609163274172,1.1153283138652805,0.34949378990792646,-0.2210320705874267,1.0546960156402796,0.17838693226016922,-0.15767535800759214,0.9709019389151408,0.24488323631046205,-0.3340609163274172,1.0282523661274172,43304678.955922306,18.363916256157637,"{""bull"": [0.25, 0.2, 0.55], ""bear"": [0.5, 0.25, 0.25], ""ma"": 120, ""count"": 18, ""buffer"": 36, ""exposure"": 1.0, ""cap"": 1.5, ""name"": ""count18""}"
bear_ma_225,0.31839310432776596,True,0.27925462031058856,-0.33807324283680906,1.2015959629555417,0.32851534377581126,-0.2017458719505738,1.0251046192403983,0.1737142538312897,-0.15972760496691663,0.9568617101605502,0.2536310182405912,-0.33807324283680906,1.0714204478859082,45382020.546610385,20.25,"{""bull"": [0.25, 0.2, 0.55], ""bear"": [0.5, 0.225, 0.275], ""ma"": 120, ""count"": 20, ""buffer"": 40, ""exposure"": 1.0, ""cap"": 1.5, ""name"": ""bear_ma_225""}"
bear_ma_275,0.3120665284201843,True,0.286110463346789,-0.3361987328750774,1.2095155233823767,0.30893521045635786,-0.21371884525393814,0.9675443186086575,0.17935394494792445,-0.16082620302562833,0.9635261438995318,0.2560382319674155,-0.3361987328750774,1.064074109313635,45968311.83431286,20.251847290640395,"{""bull"": [0.25, 0.2, 0.55], ""bear"": [0.5, 0.275, 0.225], ""ma"": 120, ""count"": 20, ""buffer"": 40, ""exposure"": 1.0, ""cap"": 1.5, ""name"": ""bear_ma_275""}"
bear_rev_475,0.3115534102569571,True,0.2705992231107792,-0.336059041317299,1.1674497402252335,0.32311624439494335,-0.20231952731404113,1.0178575369868024,0.17495710429226796,-0.163141661170207,0.9602302440318095,0.24804512578765614,-0.336059041317299,1.0518654131869312,44045995.91289882,20.222906403940886,"{""bull"": [0.25, 0.2, 0.55], ""bear"": [0.475, 0.25, 0.275], ""ma"": 120, ""count"": 20, ""buffer"": 40, ""exposure"": 1.0, ""cap"": 1.5, ""name"": ""bear_rev_475""}"
buffer60,0.3077773882516693,True,0.2688420824422535,-0.33674949840562785,1.1550342665507403,0.3184804068592244,-0.20571666800375876,1.0032431768812697,0.21360017930640107,-0.1593681320910154,1.13502205017116,0.25655954889578436,-0.33674949840562785,1.0762104019485312,46096126.72974503,20.207512315270936,"{""bull"": [0.25, 0.2, 0.55], ""bear"": [0.5, 0.25, 0.25], ""ma"": 120, ""count"": 20, ""buffer"": 60, ""exposure"": 1.0, ""cap"": 1.5, ""name"": ""buffer60""}"
bear_rev_525,0.3063870678069852,True,0.2852949947017003,-0.34256969968528683,1.2033767608101789,0.3032478005281607,-0.21428212645588762,0.9578284457422308,0.1798347433282157,-0.15919258111187495,0.9660082317748427,0.2550537658189238,-0.34256969968528683,1.0605882761099519,45727765.40030452,20.251847290640395,"{""bull"": [0.25, 0.2, 0.55], ""bear"": [0.525, 0.25, 0.225], ""ma"": 120, ""count"": 20, ""buffer"": 40, ""exposure"": 1.0, ""cap"": 1.5, ""name"": ""bear_rev_525""}"
count22,0.3060320589062029,True,0.271188844857404,-0.33497407422294045,1.1839407422332218,0.3111939059902511,-0.21189430802680598,0.9825880145991392,0.18181270623943346,-0.16451701632297422,0.9863065487850662,0.24806109352729688,-0.33497407422294045,1.0555029645066158,44049766.82472069,22.055418719211822,"{""bull"": [0.25, 0.2, 0.55], ""bear"": [0.5, 0.25, 0.25], ""ma"": 120, ""count"": 22, ""buffer"": 44, ""exposure"": 1.0, ""cap"": 1.5, ""name"": ""count22""}"
count24,0.30279655342236267,True,0.2719338302150096,-0.3333752551618424,1.1966851892191839,0.30298906917174406,-0.21944284070147946,0.96463025363127,0.17506922906567124,-0.16106941147215337,0.9570584366200802,0.24610146301287084,-0.3333752551618424,1.0542495377688221,43589030.01561431,23.987068965517242,"{""bull"": [0.25, 0.2, 0.55], ""bear"": [0.5, 0.25, 0.25], ""ma"": 120, ""count"": 24, ""buffer"": 48, ""exposure"": 1.0, ""cap"": 1.5, ""name"": ""count24""}"
buffer50,0.3023640125672084,True,0.2733014421242146,-0.33535496356659766,1.1730848581849516,0.30265905613600474,-0.21038180441116738,0.9675551966476822,0.18576990801608972,-0.15871486166895188,1.0018673659804633,0.24913367934596642,-0.33535496356659766,1.0514253476747972,44303696.24309355,20.236453201970445,"{""bull"": [0.25, 0.2, 0.55], ""bear"": [0.5, 0.25, 0.25], ""ma"": 120, ""count"": 20, ""buffer"": 50, ""exposure"": 1.0, ""cap"": 1.5, ""name"": ""buffer50""}"
buffer55,0.2992540228940248,True,0.27580640441863613,-0.3377447345261597,1.1790773026758559,0.29582270284862067,-0.21712260666244243,0.9529328048883303,0.20413457115372746,-0.15882965659258452,1.0956641332967743,0.25483548416401436,-0.3377447345261597,1.071643317796523,45674575.28572387,20.250615763546797,"{""bull"": [0.25, 0.2, 0.55], ""bear"": [0.5, 0.25, 0.25], ""ma"": 120, ""count"": 20, ""buffer"": 55, ""exposure"": 1.0, ""cap"": 1.5, ""name"": ""buffer55""}"
bear_rev_55,0.29726243933592605,True,0.28105314345263466,-0.33783827936166844,1.1837388267967797,0.28731762292899043,-0.21766145225957045,0.9218974869390167,0.19163285115045214,-0.1605516760108897,1.0137739053318198,0.2533627910434755,-0.33783827936166844,1.0519785569158837,45317087.84508271,20.17118226600985,"{""bull"": [0.25, 0.2, 0.55], ""bear"": [0.55, 0.25, 0.2], ""ma"": 120, ""count"": 20, ""buffer"": 40, ""exposure"": 1.0, ""cap"": 1.5, ""name"": ""bear_rev_55""}"
bear_ma_30,0.2969974556850239,True,0.2760861639613692,-0.3398089411546429,1.1631417508639919,0.2933326545148709,-0.2142328944595291,0.9345523172183159,0.19283500520259667,-0.16207886445158337,1.008439182690621,0.2516246136829752,-0.3398089411546429,1.0423234198742863,44898220.30594827,20.197660098522167,"{""bull"": [0.25, 0.2, 0.55], ""bear"": [0.5, 0.3, 0.2], ""ma"": 120, ""count"": 20, ""buffer"": 40, ""exposure"": 1.0, ""cap"": 1.5, ""name"": ""bear_ma_30""}"
bear_div_30,0.2812989151376116,True,0.2677647670350163,-0.3401272067080062,1.1685380804253405,0.27129387714304865,-0.2133587834818108,0.8965911512851658,0.15838982283114866,-0.16445384129872032,0.8885359695374953,0.23425485966540793,-0.3401272067080062,1.010465769579001,40890075.69300912,20.125,"{""bull"": [0.25, 0.2, 0.55], ""bear"": [0.5, 0.2, 0.3], ""ma"": 120, ""count"": 20, ""buffer"": 40, ""exposure"": 1.0, ""cap"": 1.5, ""name"": ""bear_div_30""}"
regime_ma130,0.25597527896609884,True,0.07519454895709066,-0.3468320525898466,0.41630552117618724,0.42868645212277934,-0.2815108817759827,1.2177742254326251,0.2014024318120562,-0.19635759391266894,0.9270663633760869,0.1483896658200028,-0.3468320525898466,0.6560324101664278,25239213.10212089,19.960591133004925,"{""bull"": [0.25, 0.2, 0.55], ""bear"": [0.5, 0.25, 0.25], ""ma"": 130, ""count"": 20, ""buffer"": 40, ""exposure"": 1.0, ""cap"": 1.5, ""name"": ""regime_ma130""}"
regime_ma140,0.25597527896609884,True,0.07519454895709066,-0.3468320525898466,0.41630552117618724,0.42868645212277934,-0.2815108817759827,1.2177742254326251,0.2014024318120562,-0.19635759391266894,0.9270663633760869,0.1483896658200028,-0.3468320525898466,0.6560324101664278,25239213.10212089,19.960591133004925,"{""bull"": [0.25, 0.2, 0.55], ""bear"": [0.5, 0.25, 0.25], ""ma"": 140, ""count"": 20, ""buffer"": 40, ""exposure"": 1.0, ""cap"": 1.5, ""name"": ""regime_ma140""}"
bull_mom_25,0.3285678903305635,False,0.2777220951410113,-0.3519520111597506,1.1784652620618785,0.3593260933141813,-0.20682844400731792,1.0796947386485134,0.19970185420467956,-0.16420252275569192,1.0855828662640366,0.2630154713916142,-0.3519520111597506,1.0906935056400144,47704195.88444297,20.27894088669951,"{""bull"": [0.25, 0.25, 0.5], ""bear"": [0.5, 0.25, 0.25], ""ma"": 120, ""count"": 20, ""buffer"": 40, ""exposure"": 1.0, ""cap"": 1.5, ""name"": ""bull_mom_25""}"
