日期,时间,代码,名称,操作,成交价,数量,金额,佣金,印花税
2022-04-25,09:31:00,688699.SH,明微电子,卖出,89.820,-4504,-404549.28,121.36,404.55
2022-04-25,09:31:00,688711.SH,宏微科技,买入,63.938,2285,146097.46,43.83,0.00
2022-04-25,09:31:00,688608.SH,恒玄科技,买入,131.973,3246,428385.72,128.52,0.00
2022-04-25,09:31:00,688390.SH,固德威,买入,198.727,2156,428454.68,128.54,0.00
2022-04-25,09:31:00,688772.SH,珠海冠宇,买入,22.184,19306,428289.71,128.49,0.00
2022-04-25,09:31:00,688383.SH,新益昌,卖出,71.177,-589,-41923.47,12.58,41.92
2022-04-25,09:31:00,688408.SH,中信博,买入,55.340,7744,428556.52,128.57,0.00
2022-04-22,09:31:00,688608.SH,恒玄科技,卖出,139.720,-2666,-372493.52,111.75,372.49
2022-04-22,09:31:00,688390.SH,固德威,卖出,218.562,-1878,-410459.44,123.14,410.46
2022-04-22,09:31:00,688266.SH,泽璟制药,卖出,27.505,-14684,-403881.66,121.16,403.88
2022-04-22,09:31:00,688711.SH,宏微科技,卖出,69.062,-5912,-408292.18,122.49,408.29
2022-04-22,09:31:00,688408.SH,中信博,卖出,57.086,-7150,-408162.04,122.45,408.16
2022-04-22,09:31:00,688187.SH,时代电气,卖出,41.946,-3127,-131164.95,39.35,131.16
2022-04-22,09:31:00,688766.SH,普冉股份,卖出,231.027,-680,-157098.37,47.13,157.10
2022-04-19,09:31:00,688083.SH,中望软件,买入,198.897,746,148377.16,44.51,0.00
2022-04-18,09:31:00,688767.SH,博拓生物,卖出,79.890,-1861,-148675.10,44.60,148.68
2022-04-18,09:31:00,688208.SH,道通科技,买入,32.725,13926,455732.81,136.72,0.00
2022-04-18,09:31:00,688699.SH,明微电子,买入,101.212,4504,455858.94,136.76,0.00
2022-04-18,09:31:00,688766.SH,普冉股份,买入,250.500,680,170340.00,51.10,0.00
2022-04-15,09:31:00,688390.SH,固德威,买入,236.392,1878,443943.88,133.18,0.00
2022-04-15,09:31:00,688408.SH,中信博,买入,62.114,7150,444114.96,133.23,0.00
2022-04-15,09:31:00,689009.SH,九号公司,卖出,40.299,-9349,-376757.59,113.03,376.76
2022-04-14,09:31:00,688408.SH,中信博,卖出,65.329,-6674,-436006.28,130.80,436.01
2022-04-14,09:31:00,688383.SH,新益昌,买入,76.954,589,45325.67,13.60,0.00
2022-04-14,09:31:00,688033.SH,*ST天宜,卖出,15.728,-22365,-351767.46,105.53,351.77
2022-04-14,09:31:00,688667.SH,菱电电控,卖出,101.087,-2384,-240992.41,72.30,240.99
2022-04-14,09:31:00,688711.SH,宏微科技,买入,75.591,5912,446893.28,134.07,0.00
2022-04-14,09:31:00,688063.SH,派能科技,卖出,137.724,-4122,-567698.33,170.31,567.70
2022-04-14,09:31:00,688533.SH,上声电子,买入,34.469,12970,447060.34,134.12,0.00
2022-04-13,09:31:00,688533.SH,上声电子,卖出,35.120,-12607,-442753.05,132.83,442.75
2022-04-13,09:31:00,688800.SH,瑞可达,买入,86.062,5301,456213.50,136.86,0.00
2022-04-13,09:31:00,688266.SH,泽璟制药,买入,31.062,14684,456114.41,136.83,0.00
2022-04-13,09:31:00,688608.SH,恒玄科技,买入,152.404,2666,406309.60,121.89,0.00
2022-04-13,09:31:00,688169.SH,石头科技,卖出,512.772,-971,-497902.00,149.37,497.90
2022-04-12,09:31:00,688187.SH,时代电气,买入,45.721,3127,142970.38,42.89,0.00
2022-04-12,09:31:00,688366.SH,昊海生科,卖出,82.834,-5344,-442664.90,132.80,442.66
2022-04-12,09:31:00,688800.SH,瑞可达,卖出,85.030,-5007,-425743.21,127.72,425.74
2022-04-12,09:31:00,688088.SH,虹软科技,卖出,25.948,-17436,-452429.33,135.73,452.43
2022-04-11,09:31:00,688408.SH,中信博,买入,71.883,6674,479750.35,143.93,0.00
2022-04-11,09:31:00,688696.SH,极米科技,卖出,387.104,-370,-143228.57,42.97,143.23
2022-04-11,09:31:00,688033.SH,*ST天宜,买入,17.244,22365,385671.45,115.70,0.00
2022-04-11,09:31:00,688800.SH,瑞可达,买入,95.831,5007,479827.22,143.95,0.00
2022-04-11,09:31:00,688533.SH,上声电子,买入,38.076,12607,480024.13,144.01,0.00
2022-04-08,09:31:00,688083.SH,中望软件,卖出,214.570,-2037,-437079.09,131.12,437.08
2022-04-08,09:31:00,688408.SH,中信博,卖出,75.469,-5965,-450171.15,135.05,450.17
2022-04-07,09:31:00,688131.SH,皓元医药,卖出,160.758,-2052,-329875.09,98.96,329.88
2022-04-07,09:31:00,688029.SH,南微医学,卖出,121.606,-1456,-177058.77,53.12,177.06
2022-04-07,09:31:00,688208.SH,道通科技,卖出,37.235,-11655,-433978.35,130.19,433.98
2022-04-01,09:31:00,688767.SH,博拓生物,买入,86.653,1861,161261.16,48.38,0.00
2022-04-01,09:31:00,688088.SH,虹软科技,买入,28.717,17436,500715.19,150.21,0.00
2022-03-31,09:31:00,688117.SH,圣诺生物,卖出,46.906,-8583,-402594.20,120.78,402.59
2022-03-29,09:31:00,688408.SH,中信博,买入,82.986,5965,495009.34,148.50,0.00
2022-03-28,09:31:00,688408.SH,中信博,卖出,83.113,-4477,-372098.87,111.63,372.10
2022-03-28,09:31:00,688661.SH,和林微纳,卖出,59.870,-6417,-384185.92,115.26,384.19
2022-03-23,09:31:00,688117.SH,圣诺生物,买入,34.980,8583,300231.80,90.07,0.00
2022-03-22,09:31:00,688667.SH,菱电电控,卖出,126.087,-2385,-300718.26,90.22,300.72
2022-03-18,09:31:00,688366.SH,昊海生科,买入,92.655,5344,495148.00,148.54,0.00
2022-03-18,09:31:00,688029.SH,南微医学,买入,131.252,1456,191102.88,57.33,0.00
2022-03-17,09:31:00,688317.SH,之江生物,卖出,40.349,-6089,-245685.91,73.71,245.69
2022-03-17,09:31:00,688617.SH,惠泰医疗,卖出,191.516,-2306,-441636.36,132.49,441.64
2022-03-17,09:31:00,688408.SH,中信博,买入,93.958,4477,420647.91,126.19,0.00
2022-03-16,09:31:00,688408.SH,中信博,卖出,85.708,-2430,-208271.02,62.48,208.27
2022-03-16,09:31:00,688339.SH,亿华通,卖出,146.247,-1457,-213081.76,63.92,213.08
2022-03-16,09:31:00,689009.SH,九号公司,买入,41.433,9349,387354.31,116.21,0.00
2022-03-15,09:31:00,688667.SH,菱电电控,买入,101.202,4769,482632.34,144.79,0.00
2022-03-15,09:31:00,688063.SH,派能科技,买入,117.124,4122,482784.22,144.84,0.00
2022-03-15,09:31:00,688083.SH,中望软件,买入,236.833,2037,482428.25,144.73,0.00
2022-03-14,09:31:00,688169.SH,石头科技,买入,509.036,971,494273.99,148.28,0.00
2022-03-14,09:31:00,688317.SH,之江生物,卖出,46.976,-6090,-286082.99,85.82,286.08
2022-03-14,09:31:00,688221.SH,前沿生物,卖出,20.968,-29184,-611929.53,183.58,611.93
2022-03-14,09:31:00,688310.SH,迈得医疗,卖出,29.641,-14698,-435657.54,130.70,435.66
2022-03-11,09:31:00,688208.SH,道通科技,买入,40.852,11655,476124.70,142.84,0.00
2022-03-11,09:31:00,688356.SH,键凯科技,卖出,234.191,-1916,-448709.34,134.61,448.71
2022-03-11,09:31:00,688606.SH,奥泰生物,卖出,149.700,-3679,-550746.30,165.22,550.75
2022-03-11,09:31:00,688696.SH,极米科技,买入,345.690,370,127905.30,38.37,0.00
2022-03-10,09:31:00,688518.SH,联赢激光,卖出,29.700,-14238,-422875.43,126.86,422.88
2022-03-10,09:31:00,688039.SH,当虹科技,卖出,47.894,-3803,-182140.96,54.64,182.14
2022-03-09,09:31:00,688661.SH,和林微纳,买入,66.332,6417,425655.01,127.70,0.00
2022-03-08,09:31:00,688128.SH,中国电研,卖出,22.375,-18125,-405549.78,121.66,405.55
2022-03-08,09:31:00,688800.SH,瑞可达,卖出,88.742,-234,-20765.67,6.23,20.77
2022-03-08,09:31:00,688131.SH,皓元医药,买入,154.128,2052,316269.92,94.88,0.00
2022-03-03,09:31:00,688088.SH,虹软科技,卖出,34.900,-9079,-316857.64,95.06,316.86
2022-03-01,09:31:00,688039.SH,当虹科技,买入,51.813,3803,197046.44,59.11,0.00
