日期,总资产,现金,证券,数量,持仓,收盘价, 收益
,,,经纬恒润(688326.SH),31117,2529812.10,81.3,-298992.81
,,,品茗科技(688109.SH),33578,2585506.00,77,-227399.76
,,,航亚科技(688510.SH),102677,2628531.20,25.6,-161446.16
,,,卓越新能(688196.SH),62504,2620792.72,41.93,-191466.87
,,,佳华科技(688051.SH),79617,2520674.22,31.66,-269937.62
,,,安达智能(688125.SH),15760,2836800.00,180,38650.95
,,,复洁科技(688335.SH),95371,2735240.28,28.68,-31146.20
,,,精进电动(688280.SH),464634,2685584.52,5.78,-113290.13
,,,热景生物(688068.SH),31454,2788082.56,88.64,-39201.68
2026-05-28,27653633.81,3725817.99,,,,,
,,,精进电动(688280.SH),464634,2741340.60,5.9,-57534.05
,,,卓越新能(688196.SH),62504,2692672.32,43.08,-119587.27
,,,航亚科技(688510.SH),102677,2863661.53,27.89,73684.17
,,,经纬恒润(688326.SH),31117,2722737.50,87.5,-106067.41
,,,佳华科技(688051.SH),79617,2640099.72,33.16,-150512.12
,,,品茗科技(688109.SH),33578,2719818.00,81,-93087.76
,,,热景生物(688068.SH),31454,2738070.70,87.05,-89213.54
,,,必贝特(688759.SH),52625,1772936.25,33.69,137808.11
,,,安达智能(688125.SH),15760,3036479.20,192.67,238330.15
2026-05-27,27783272.09,9306407.18,,,,,
,,,热景生物(688068.SH),31454,2700640.44,85.86,-126643.80
,,,安达智能(688125.SH),15760,2842631.20,180.37,44482.15
,,,品茗科技(688109.SH),33578,2778243.72,82.74,-34662.04
,,,精进电动(688280.SH),464634,2704169.88,5.82,-94704.77
,,,经纬恒润(688326.SH),31117,2779370.44,89.32,-49434.47
,,,必贝特(688759.SH),52625,1929758.75,36.67,294630.61
,,,卓越新能(688196.SH),62504,2742050.48,43.87,-70209.11
2026-05-26,28045572.04,14903430.88,,,,,
,,,经纬恒润(688326.SH),31117,2872721.44,92.32,43916.53
,,,品茗科技(688109.SH),33578,2844056.60,84.7,31150.84
,,,热景生物(688068.SH),31454,2707245.78,86.07,-120038.46
,,,卓越新能(688196.SH),62504,2732049.84,43.71,-80209.75
,,,必贝特(688759.SH),52625,1986067.50,37.74,350939.36
2026-05-25,28287846.91,12213431.79,,,,,
,,,热景生物(688068.SH),31454,2730207.20,86.8,-97077.04
,,,卓越新能(688196.SH),62504,2882059.44,46.11,69799.85
,,,经纬恒润(688326.SH),31117,2909439.50,93.5,80634.59
,,,精进电动(688280.SH),448322,2685448.78,5.99,-221867.78
,,,必贝特(688759.SH),52625,1982910.00,37.68,347781.86
,,,品茗科技(688109.SH),33578,2884350.20,85.9,71444.44
2026-05-22,28058926.34,15120968.04,,,,,
,,,必贝特(688759.SH),52625,1931863.75,36.71,296735.61
